v293r5_design_lowspeed -- shortlist at 6 / 8 / 12 m/s, and the SMALL-STEP stiction test T7 at 8 / 12 / 19 / 26 m/s (F x1.5)

============================================================================================================================================
WORLD ident (b F1, J 1e-4) | NEED x1.0 | low speed
  cfg                              v | T1 dist |e| .5 1 2 s, rms      | T2 rise ov rms         | T3 pkpk | T5 stiction: rms e, pk rate, dwells, max|e|
  Kp1.5 notch DOB.8 Ki.3          26 |   0.60   0.75  +0.47 |     3.5 | +0.0282   +0.42 |  0.001
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3     8 |   0.48   0.59  +0.16 |    26.8 | +0.0351   +1.09 |  0.003
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3    12 |   0.52   0.67  +0.17 |    10.7 | +0.0299   +0.55 |  0.001
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3    19 |   0.53   0.66  +0.31 |     5.7 | +0.0289   +0.44 |  0.001
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3    26 |   0.52   0.65  +0.40 |     3.9 | +0.0306   +0.36 |  0.001
  Kp1.5 notch DOB.8 Ki.3 max.15    8 |   0.52   0.65  +0.21 |    23.5 | +0.0321   +1.38 |  0.007
  Kp1.5 notch DOB.8 Ki.3 max.15   12 |   0.57   0.76  +0.22 |     9.0 | +0.0279   +0.69 |  0.001
  Kp1.5 notch DOB.8 Ki.3 max.15   19 |   0.60   0.77  +0.37 |     4.3 | +0.0299   +0.53 |  0.001
  Kp1.5 notch DOB.8 Ki.3 max.15   26 |   0.60   0.75  +0.47 |     3.5 | +0.0282   +0.42 |  0.001
  Kp1.5 notch DOB.5 Ki.3           8 |   0.53   0.68  +0.18 |    22.3 | +0.0315   +1.18 |  0.005
  Kp1.5 notch DOB.5 Ki.3          12 |   0.58   0.82  +0.21 |     8.4 | +0.0272   +0.66 |  0.002
  Kp1.5 notch DOB.5 Ki.3          19 |   0.62   0.86  +0.35 |     3.8 | +0.0286   +0.50 |  0.002
  Kp1.5 notch DOB.5 Ki.3          26 |   0.63   0.87  +0.43 |     3.6 | +0.0280   +0.38 |  0.002

============================================================================================================================================
WORLD ident (b F1, J 1e-4) | NEED x1.5 | low speed
  cfg                              v | T1 dist |e| .5 1 2 s, rms      | T2 rise ov rms         | T3 pkpk | T5 stiction: rms e, pk rate, dwells, max|e|
  R4-flown                         6 |  0.022  0.026  0.027  0.023    |  0.98  -0.02  0.381    |   1.52  |  0.075     7.8   1  0.097
  R4-flown                         8 |  0.035  0.041  0.041  0.035    |  0.87  -0.03  0.380    |   0.60  |  0.080     4.5   0  0.101
  R4-flown                        12 |  0.043  0.055  0.043  0.039    |  1.31  +0.01  0.381    |   0.90  |  0.071     2.2   0  0.093
  R4+DOB.8 Ki.3flat                6 |  0.018  0.017  0.001  0.010    |  0.91  +0.03  0.368    |   0.78  |  0.037     9.9   1  0.063
  R4+DOB.8 Ki.3flat                8 |  0.029  0.025  0.001  0.016    |  0.83  +0.04  0.365    |   0.95  |  0.038     6.4   1  0.070
  R4+DOB.8 Ki.3flat               12 |  0.038  0.033  0.000  0.020    |  1.02  +0.07  0.377    |   0.36  |  0.044     3.6   0  0.080
  Kp1.2 notch DOB.8 Ki.3           6 |  0.018  0.016  0.002  0.010    |  0.90  +0.02  0.367    |   0.45  |  0.038    10.0   1  0.063
  Kp1.2 notch DOB.8 Ki.3           8 |  0.029  0.025  0.001  0.015    |  0.82  +0.03  0.363    |   0.84  |  0.038     6.4   1  0.069
  Kp1.2 notch DOB.8 Ki.3          12 |  0.036  0.031  0.001  0.019    |  0.96  +0.05  0.374    |   0.37  |  0.043     3.6   0  0.078
  Kp1.5 notch DOB.8 Ki.3           6 |  0.017  0.016  0.002  0.010    |  0.89  +0.01  0.367    |   0.67  |  0.038    10.0   1  0.062
  Kp1.5 notch DOB.8 Ki.3           8 |  0.029  0.025  0.001  0.015    |  0.81  +0.04  0.362    |   0.30  |  0.038     6.5   1  0.069
  Kp1.5 notch DOB.8 Ki.3          12 |  0.036  0.030  0.002  0.018    |  0.92  +0.05  0.372    |   0.30  |  0.042     3.6   0  0.077
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3     6 |  0.015  0.012  0.002  0.008    |  0.81  +0.01  0.357    |   0.45  |  0.036     9.3   1  0.056
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3     8 |  0.024  0.018  0.001  0.012    |  0.76  +0.03  0.353    |   0.21  |  0.035     6.2   1  0.061
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3    12 |  0.032  0.019  0.002  0.014    |  0.85  +0.04  0.362    |   0.21  |  0.039     3.6   0  0.068
  Kp1.5 notch DOB.8 Ki.3 max.15    6 |  0.017  0.016  0.002  0.010    |  0.89  +0.01  0.367    |   0.60  |  0.038    10.0   1  0.062
  Kp1.5 notch DOB.8 Ki.3 max.15    8 |  0.029  0.025  0.001  0.015    |  0.81  +0.04  0.362    |   0.30  |  0.038     6.5   1  0.069
  Kp1.5 notch DOB.8 Ki.3 max.15   12 |  0.036  0.030  0.002  0.018    |  0.92  +0.05  0.372    |   0.30  |  0.042     3.6   0  0.077
  Kp1.5 notch DOB.5 Ki.3           6 |  0.019  0.020  0.010  0.012    |  0.91  +0.02  0.368    |   0.89  |  0.042     9.6   1  0.065
  Kp1.5 notch DOB.5 Ki.3           8 |  0.030  0.030  0.013  0.018    |  0.83  +0.03  0.363    |   0.43  |  0.042     6.1   1  0.071
  Kp1.5 notch DOB.5 Ki.3          12 |  0.038  0.038  0.008  0.022    |  0.97  +0.05  0.374    |   0.41  |  0.047     2.7   0  0.081

  T7 small step 0.15 m/s^2, F x1.5:  cfg                              v |    t50    t90     ov |  pk r/s |  windup past deg | tail e
  R4-flown                         8 |   0.56   2.21  -0.03 |    18.4 | +0.0301   -0.20 |  0.008
  R4-flown                        12 |   0.64   1.76  +0.04 |     6.8 | +0.0270   +0.14 |  0.004
  R4-flown                        19 |   0.71   2.08  -0.00 |     2.9 | +0.0272   -0.00 |  0.002
  R4-flown                        26 |   0.75   2.19  -0.00 |     1.7 | +0.0256   -0.00 |  0.002
  R4+DOB.8 Ki.3flat                8 |   0.54   0.77  +0.13 |    20.6 | +0.0309   +0.90 |  0.004
  R4+DOB.8 Ki.3flat               12 |   0.60   1.20  +0.23 |     7.6 | +0.0281   +0.72 |  0.021
  R4+DOB.8 Ki.3flat               19 |   0.67   1.27  +0.39 |     3.6 | +0.0281   +0.56 |  0.033
  R4+DOB.8 Ki.3flat               26 |   0.69   1.29  +0.50 |     3.6 | +0.0265   +0.45 |  0.039
  Kp1.2 notch DOB.8 Ki.3           8 |   0.53   0.75  +0.12 |    20.9 | +0.0315   +0.81 |  0.003
  Kp1.2 notch DOB.8 Ki.3          12 |   0.59   1.04  +0.21 |     7.9 | +0.0290   +0.66 |  0.019
  Kp1.2 notch DOB.8 Ki.3          19 |   0.64   1.09  +0.36 |     3.6 | +0.0284   +0.51 |  0.029
  Kp1.2 notch DOB.8 Ki.3          26 |   0.64   1.18  +0.47 |     3.6 | +0.0277   +0.42 |  0.034
  Kp1.5 notch DOB.8 Ki.3           8 |   0.53   0.73  +0.10 |    21.1 | +0.0321   +0.70 |  0.003
  Kp1.5 notch DOB.8 Ki.3          12 |   0.58   0.92  +0.20 |     8.1 | +0.0279   +0.63 |  0.018
  Kp1.5 notch DOB.8 Ki.3          19 |   0.62   0.89  +0.29 |     3.8 | +0.0299   +0.41 |  0.003
  Kp1.5 notch DOB.8 Ki.3          26 |   0.62   0.88  +0.36 |     3.6 | +0.0282   +0.32 |  0.002
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3     8 |   0.49   0.63  +0.08 |    24.3 | +0.0351   +0.56 |  0.002
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3    12 |   0.53   0.79  +0.02 |     9.7 | +0.0299   +0.07 |  0.003
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3    19 |   0.53   0.76  +0.28 |     5.2 | +0.0289   +0.40 |  0.017
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3    26 |   0.53   0.74  +0.03 |     3.5 | +0.0306   +0.02 |  0.004
  Kp1.5 notch DOB.8 Ki.3 max.15    8 |   0.53   0.73  +0.10 |    21.1 | +0.0321   +0.70 |  0.003
  Kp1.5 notch DOB.8 Ki.3 max.15   12 |   0.58   0.92  +0.20 |     8.1 | +0.0279   +0.63 |  0.018
  Kp1.5 notch DOB.8 Ki.3 max.15   19 |   0.62   0.89  +0.29 |     3.8 | +0.0299   +0.41 |  0.003
  Kp1.5 notch DOB.8 Ki.3 max.15   26 |   0.62   0.88  +0.36 |     3.6 | +0.0282   +0.32 |  0.002
  Kp1.5 notch DOB.5 Ki.3           8 |   0.54   0.82  +0.09 |    20.1 | +0.0315   +0.63 |  0.005
  Kp1.5 notch DOB.5 Ki.3          12 |   0.60   1.57  +0.23 |     7.6 | +0.0272   +0.72 |  0.014
  Kp1.5 notch DOB.5 Ki.3          19 |   0.64   1.17  +0.26 |     3.6 | +0.0286   +0.37 |  0.005
  Kp1.5 notch DOB.5 Ki.3          26 |   0.65   1.06  +0.29 |     3.6 | +0.0280   +0.26 |  0.004

============================================================================================================================================
WORLD mode (b .0006, J 1e-4) | NEED x1.0 | low speed
  cfg                              v | T1 dist |e| .5 1 2 s, rms      | T2 rise ov rms         | T3 pkpk | T5 stiction: rms e, pk rate, dwells, max|e|
  R4-flown                         6 |  0.035  0.038  0.035  0.031    |  0.66  +0.40  0.365    |   1.84  |  0.033    11.7   1  0.063
  R4-flown                         8 |  0.057  0.060  0.053  0.048    |  0.64  +0.49  0.372    |   1.53  |  0.039     6.9   1  0.074
  R4-flown                        12 |  0.092  0.085  0.048  0.056    |  0.60  +0.61  0.374    |   0.15  |  0.040     4.1   0  0.084
  R4+DOB.8 Ki.3flat                6 |  0.029  0.012  0.002  0.013    |  0.67  +0.17  0.346    |   0.47  |  0.030    15.2   1  0.060
  R4+DOB.8 Ki.3flat                8 |  0.046  0.016  0.004  0.020    |  0.65  +0.27  0.347    |   0.67  |  0.030    10.2   1  0.068
  R4+DOB.8 Ki.3flat               12 |  0.071  0.013  0.012  0.027    |  0.63  +0.14  0.340    |   0.74  |  0.036     6.0   1  0.076
  Kp1.2 notch DOB.8 Ki.3           6 |  0.029  0.011  0.001  0.012    |  0.66  +0.17  0.346    |   0.52  |  0.031    15.2   1  0.060
  Kp1.2 notch DOB.8 Ki.3           8 |  0.046  0.012  0.003  0.020    |  0.65  +0.27  0.346    |   0.64  |  0.030    10.3   1  0.067
  Kp1.2 notch DOB.8 Ki.3          12 |  0.065  0.013  0.011  0.026    |  0.62  +0.14  0.339    |   0.61  |  0.036     6.2   1  0.075
  Kp1.5 notch DOB.8 Ki.3           6 |  0.028  0.011  0.001  0.013    |  0.66  +0.18  0.345    |   0.68  |  0.031    15.3   1  0.059
  Kp1.5 notch DOB.8 Ki.3           8 |  0.045  0.011  0.002  0.020    |  0.64  +0.27  0.346    |   0.71  |  0.030    10.4   1  0.067
  Kp1.5 notch DOB.8 Ki.3          12 |  0.064  0.008  0.009  0.025    |  0.62  +0.15  0.338    |   0.41  |  0.035     6.3   1  0.074
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3     6 |  0.022  0.008  0.001  0.010    |  0.66  +0.09  0.337    |   0.35  |  0.031    16.1   1  0.054
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3     8 |  0.034  0.011  0.008  0.015    |  0.64  +0.15  0.334    |   0.58  |  0.029    10.9   1  0.060
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3    12 |  0.044  0.008  0.008  0.019    |  0.65  +0.02  0.328    |   0.32  |  0.033     6.6   1  0.066
  Kp1.5 notch DOB.8 Ki.3 max.15    6 |  0.028  0.011  0.001  0.013    |  0.66  +0.18  0.345    |   0.79  |  0.031    15.3   1  0.059
  Kp1.5 notch DOB.8 Ki.3 max.15    8 |  0.045  0.011  0.002  0.020    |  0.64  +0.27  0.346    |   0.71  |  0.030    10.4   1  0.067
  Kp1.5 notch DOB.8 Ki.3 max.15   12 |  0.064  0.008  0.009  0.025    |  0.62  +0.15  0.338    |   0.42  |  0.035     6.3   1  0.074
  Kp1.5 notch DOB.5 Ki.3           6 |  0.031  0.025  0.002  0.015    |  0.66  +0.26  0.351    |   0.58  |  0.031    14.0   1  0.061
  Kp1.5 notch DOB.5 Ki.3           8 |  0.050  0.036  0.002  0.023    |  0.64  +0.36  0.355    |   0.71  |  0.031     9.2   1  0.069
  Kp1.5 notch DOB.5 Ki.3          12 |  0.074  0.033  0.004  0.032    |  0.61  +0.32  0.348    |   0.41  |  0.037     5.5   1  0.077

  T7 small step 0.15 m/s^2, F x1.5:  cfg                              v |    t50    t90     ov |  pk r/s |  windup past deg | tail e
  R4-flown                         8 |   0.49   0.57  +0.27 |    33.9 | +0.0301   +1.82 |  0.004
  R4-flown                        12 |   0.49   0.55  +0.31 |    19.3 | +0.0270   +0.97 |  0.005
  R4-flown                        19 |   0.54   0.60  +0.34 |     9.1 | +0.0272   +0.48 |  0.004
  R4-flown                        26 |   0.55   0.61  +0.34 |     6.0 | +0.0256   +0.31 |  0.003
  R4+DOB.8 Ki.3flat                8 |   0.48   0.55  +0.31 |    36.8 | +0.0309   +2.09 |  0.009
  R4+DOB.8 Ki.3flat               12 |   0.48   0.54  +0.29 |    20.9 | +0.0281   +0.90 |  0.004
  R4+DOB.8 Ki.3flat               19 |   0.53   0.59  +0.29 |    10.2 | +0.0281   +0.41 |  0.002
  R4+DOB.8 Ki.3flat               26 |   0.54   0.60  +0.33 |     6.8 | +0.0265   +0.29 |  0.005
  Kp1.2 notch DOB.8 Ki.3           8 |   0.47   0.55  +0.32 |    37.1 | +0.0315   +2.15 |  0.004
  Kp1.2 notch DOB.8 Ki.3          12 |   0.48   0.54  +0.31 |    21.3 | +0.0272   +0.97 |  0.004
  Kp1.2 notch DOB.8 Ki.3          19 |   0.52   0.57  +0.35 |    11.0 | +0.0284   +0.50 |  0.001
  Kp1.2 notch DOB.8 Ki.3          26 |   0.52   0.57  +0.40 |     7.7 | +0.0265   +0.36 |  0.007
  Kp1.5 notch DOB.8 Ki.3           8 |   0.47   0.54  +0.33 |    37.4 | +0.0321   +2.22 |  0.003
  Kp1.5 notch DOB.8 Ki.3          12 |   0.47   0.53  +0.33 |    21.7 | +0.0279   +1.02 |  0.003
  Kp1.5 notch DOB.8 Ki.3          19 |   0.51   0.56  +0.40 |    11.7 | +0.0282   +0.58 |  0.005
  Kp1.5 notch DOB.8 Ki.3          26 |   0.51   0.56  +0.51 |     8.4 | +0.0282   +0.46 |  0.008
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3     8 |   0.44   0.51  +0.30 |    39.2 | +0.0351   +2.03 |  0.004
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3    12 |   0.44   0.49  +0.28 |    22.5 | +0.0299   +0.89 |  0.002
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3    19 |   0.46   0.50  +0.53 |    14.7 | +0.0289   +0.75 |  0.004
  Kp2 NOnotch Kv1e-3 DOB1 Ki.3    26 |   0.46   0.50  +0.65 |    11.2 | +0.0286   +0.58 |  0.007
  Kp1.5 notch DOB.8 Ki.3 max.15    8 |   0.47   0.54  +0.33 |    37.4 | +0.0321   +2.22 |  0.003
  Kp1.5 notch DOB.8 Ki.3 max.15   12 |   0.47   0.53  +0.33 |    21.7 | +0.0279   +1.02 |  0.003
  Kp1.5 notch DOB.8 Ki.3 max.15   19 |   0.51   0.56  +0.40 |    11.7 | +0.0282   +0.58 |  0.005
  Kp1.5 notch DOB.8 Ki.3 max.15   26 |   0.51   0.56  +0.51 |     8.4 | +0.0282   +0.46 |  0.008
  Kp1.5 notch DOB.5 Ki.3           8 |   0.48   0.55  +0.32 |    36.1 | +0.0315   +2.11 |  0.015
  Kp1.5 notch DOB.5 Ki.3          12 |   0.48   0.54  +0.31 |    20.8 | +0.0272   +0.98 |  0.001
  Kp1.5 notch DOB.5 Ki.3          19 |   0.52   0.57  +0.33 |    10.7 | +0.0286   +0.47 |  0.001
  Kp1.5 notch DOB.5 Ki.3          26 |   0.52   0.57  +0.42 |     7.5 | +0.0269   +0.37 |  0.005

============================================================================================================================================
WORLD mode (b .0006, J 1e-4) | NEED x1.5 | low speed
