cell,metric,note,pair,target_est,ref_est,n_target,routes_target,n_ref,routes_ref,diff,ci_lo,ci_hi,mde80,effect_over_mde,excludes0,ref_ok
R10_2.5-5,dwelljump_per100deg,4,T64-V282,2.301,1.4181,10,2,44,3,0.8829,-2.3153,10.9305,9.4941,0.093,False,True
R10_2.5-5,dwelljump_per100deg,4,T64-V282old,2.301,2.8548,10,2,31,3,-0.5538,-6.8053,8.5844,10.6568,0.052,False,False
R10_2.5-5,dwelljump_per100deg,4,T64-V282pool,2.301,1.9905,10,2,75,6,0.3105,-2.9157,9.7433,9.3578,0.0332,False,True
R10_2.5-5,dwelljump_per100deg,4,T64-V282_LOO,2.301,0.6381,10,2,14,2,1.6629,-1.7596,11.4295,9.3466,0.1779,False,False
R10_2.5-5,dwelljump_per100deg,4,T64B-V282,1.8745,1.4181,7,1,44,3,0.4564,-2.3319,10.6569,9.3574,0.0488,False,True
R10_2.5-5,dwelljump_per100deg,4,T64B-V282old,1.8745,2.8548,7,1,31,3,-0.9803,-7.1178,8.9567,10.5421,0.093,False,False
R10_2.5-5,dwelljump_per100deg,4,T64B-V282pool,1.8745,1.9905,7,1,75,6,-0.116,-3.0605,10.2811,9.4212,0.0123,False,True
R10_2.5-5,dwelljump_per100deg,4,T64B-V282_LOO,1.8745,0.6381,7,1,14,2,1.2364,-1.7727,11.4675,9.2303,0.1339,False,False
R10_2.5-5,dwelljump_per100deg,4,T5-V282,26.6289,1.4181,6,1,44,3,25.2108,8.8251,38.169,20.3203,1.2407,True,True
R10_2.5-5,dwelljump_per100deg,4,T5-V282old,26.6289,2.8548,6,1,31,3,23.7741,6.5582,35.9352,20.7104,1.1479,True,False
R10_2.5-5,dwelljump_per100deg,4,T5-V282pool,26.6289,1.9905,6,1,75,6,24.6384,7.8389,37.079,20.249,1.2168,True,True
R10_2.5-5,dwelljump_per100deg,4,T5-V282_LOO,26.6289,0.6381,6,1,14,2,25.9908,9.4602,38.2553,20.1627,1.2891,True,False
R10_2.5-5,dwelljump_per100deg,4,T4-V282,2.7698,1.4181,13,1,44,3,1.3517,-1.5087,9.7995,7.7527,0.1744,False,True
R10_2.5-5,dwelljump_per100deg,4,T4-V282old,2.7698,2.8548,13,1,31,3,-0.0849,-5.7649,7.3505,8.8033,0.0096,False,False
R10_2.5-5,dwelljump_per100deg,4,T4-V282pool,2.7698,1.9905,13,1,75,6,0.7793,-2.3044,8.2908,7.7007,0.1012,False,True
R10_2.5-5,dwelljump_per100deg,4,T4-V282_LOO,2.7698,0.6381,13,1,14,2,2.1317,-0.782,9.9645,7.6207,0.2797,False,False
R10_2.5-5,dwelljump_per100deg,4,V282old-V282,2.8548,1.4181,31,3,44,3,1.4367,-0.6574,7.1907,5.6011,0.2565,False,True
R10_2.5-5,rate_lag_excess,5,T4-V282,0.2654,0.06,8,1,23,3,0.2054,0.1404,0.2654,0.0795,2.5854,True,True
R10_2.5-5,rate_lag_excess,5,T4-V282old,0.2654,0.09,8,1,11,2,0.1754,0.1054,0.2204,0.0817,2.1467,True,False
R10_2.5-5,rate_lag_excess,5,T4-V282pool,0.2654,0.08,8,1,34,5,0.1854,0.1154,0.2504,0.0814,2.2775,True,True
R10_2.5-5,rate_lag_excess,5,T4-V282_LOO,0.2654,0.045,8,1,6,2,0.2204,0.1454,0.2704,0.0845,2.6084,True,False
R10_2.5-5,rate_lag_excess,5,V282old-V282,0.09,0.06,11,2,23,3,0.03,0.01,0.08,0.0534,0.5618,True,True
R10_2.5-5,rate_lag,5,T4-V282,0.545,0.26,8,1,23,3,0.285,0.225,0.34,0.0749,3.8046,True,True
R10_2.5-5,rate_lag,5,T4-V282old,0.545,0.29,8,1,11,2,0.255,0.185,0.3,0.0778,3.2781,True,False
R10_2.5-5,rate_lag,5,T4-V282pool,0.545,0.28,8,1,34,5,0.265,0.2,0.325,0.0766,3.4604,True,True
R10_2.5-5,rate_lag,5,T4-V282_LOO,0.545,0.245,8,1,6,2,0.3,0.225,0.35,0.0819,3.6627,True,False
R10_2.5-5,rate_lag,5,V282old-V282,0.29,0.26,11,2,23,3,0.03,0.01,0.08,0.0528,0.5677,True,True
R10_2.5-5,rate_gain,5,T4-V282,0.2864,0.6525,8,1,23,3,-0.3661,-0.6597,0.2826,0.6246,0.586,False,True
R10_2.5-5,rate_gain,5,T4-V282old,0.2864,0.7199,8,1,11,2,-0.4335,-0.636,0.2566,0.5776,0.7504,False,False
R10_2.5-5,rate_gain,5,T4-V282pool,0.2864,0.6809,8,1,34,5,-0.3945,-0.6267,0.2281,0.581,0.6789,False,True
R10_2.5-5,rate_gain,5,T4-V282_LOO,0.2864,0.6518,8,1,6,2,-0.3654,-0.6843,0.2319,0.671,0.5446,False,False
R10_2.5-5,rate_gain,5,V282old-V282,0.7199,0.6525,11,2,23,3,0.0674,-0.1362,0.2381,0.2663,0.2532,False,True
R10_2.5-5,rate_peak_ratio,5,T4-V282,0.5643,0.8669,8,1,23,3,-0.3027,-0.6453,0.3204,0.7171,0.422,False,True
R10_2.5-5,rate_peak_ratio,5,T4-V282old,0.5643,0.8967,8,1,11,2,-0.3324,-0.663,0.2907,0.7668,0.4335,False,False
R10_2.5-5,rate_peak_ratio,5,T4-V282pool,0.5643,0.8787,8,1,34,5,-0.3144,-0.6607,0.2948,0.7199,0.4367,False,True
R10_2.5-5,rate_peak_ratio,5,T4-V282_LOO,0.5643,0.8624,8,1,6,2,-0.2981,-0.6283,0.325,0.707,0.4217,False,False
R10_2.5-5,rate_peak_ratio,5,V282old-V282,0.8967,0.8669,11,2,23,3,0.0297,-0.3165,0.1938,0.3746,0.0794,False,True
R10_2.5-5,rate_overrun,5,T4-V282,0.3762,0.2004,8,1,23,3,0.1757,-0.0911,0.6096,0.5298,0.3316,False,True
R10_2.5-5,rate_overrun,5,T4-V282old,0.3762,0.2635,8,1,11,2,0.1127,-0.1368,0.4982,0.5019,0.2245,False,False
R10_2.5-5,rate_overrun,5,T4-V282pool,0.3762,0.2357,8,1,34,5,0.1405,-0.107,0.5537,0.5115,0.2746,False,True
R10_2.5-5,rate_overrun,5,T4-V282_LOO,0.3762,0.1047,8,1,6,2,0.2715,-0.0217,0.7037,0.5257,0.5165,False,False
R10_2.5-5,rate_overrun,5,V282old-V282,0.2635,0.2004,11,2,23,3,0.063,-0.0505,0.2333,0.2151,0.2931,False,True
R10_2.5-5,rate_rough,5,T4-V282,0.2897,0.1219,8,1,23,3,0.1677,0.0018,0.3004,0.2152,0.7793,True,True
R10_2.5-5,rate_rough,5,T4-V282old,0.2897,0.1352,8,1,11,2,0.1545,0.0002,0.2711,0.2076,0.744,True,False
R10_2.5-5,rate_rough,5,T4-V282pool,0.2897,0.1252,8,1,34,5,0.1644,0.0045,0.2716,0.2036,0.8077,True,True
R10_2.5-5,rate_rough,5,T4-V282_LOO,0.2897,0.1579,8,1,6,2,0.1317,-0.0288,0.3448,0.2623,0.5023,False,False
R10_2.5-5,rate_rough,5,V282old-V282,0.1352,0.1219,11,2,23,3,0.0133,-0.0661,0.098,0.108,0.123,False,True
R10_2.5-5,rate_travel_ratio,5,T4-V282,0.4639,0.9545,5,1,11,3,-0.4905,-1.0203,0.6903,1.4036,0.3495,False,True
R10_2.5-5,rate_travel_ratio,5,T4-V282old,0.4639,1.013,5,1,6,1,-0.549,-0.999,0.6593,1.3405,0.4096,False,False
R10_2.5-5,rate_travel_ratio,5,T4-V282pool,0.4639,0.9854,5,1,17,4,-0.5215,-0.9399,0.6903,1.3398,0.3892,False,True
R10_2.5-5,rate_travel_ratio,5,T4-V282_LOO,0.4639,0.9885,5,1,4,2,-0.5245,-1.142,0.6563,1.4789,0.3547,False,False
R10_2.5-5,rate_travel_ratio,5,V282old-V282,1.013,0.9545,6,1,11,3,0.0585,-0.4014,0.4028,0.5738,0.1019,False,True
R10_2.5-5,rate_conc,5,T4-V282,0.476,0.2731,8,1,23,3,0.2029,0.0207,0.2747,0.1928,1.0523,True,True
R10_2.5-5,rate_conc,5,T4-V282old,0.476,0.2345,8,1,11,2,0.2415,0.0675,0.3196,0.1947,1.2405,True,False
R10_2.5-5,rate_conc,5,T4-V282pool,0.476,0.2706,8,1,34,5,0.2054,0.0554,0.287,0.1871,1.0978,True,True
R10_2.5-5,rate_conc,5,T4-V282_LOO,0.476,0.2924,8,1,6,2,0.1836,-0.0103,0.2666,0.2022,0.9078,False,False
R10_2.5-5,rate_conc,5,V282old-V282,0.2345,0.2731,11,2,23,3,-0.0386,-0.1082,0.0137,0.0893,0.4325,False,True
R10_2.5-5,rate_hf_per_peak,5,T4-V282,0.1158,0.0996,8,1,23,3,0.0161,-0.0557,0.143,0.1518,0.1062,False,True
R10_2.5-5,rate_hf_per_peak,5,T4-V282old,0.1158,0.1194,8,1,11,2,-0.0036,-0.0472,0.123,0.1419,0.0253,False,False
R10_2.5-5,rate_hf_per_peak,5,T4-V282pool,0.1158,0.1044,8,1,34,5,0.0113,-0.0446,0.1424,0.1448,0.0782,False,True
R10_2.5-5,rate_hf_per_peak,5,T4-V282_LOO,0.1158,0.119,8,1,6,2,-0.0032,-0.0826,0.1773,0.1875,0.017,False,False
