cell,metric,note,pair,target_est,ref_est,n_target,routes_target,n_ref,routes_ref,diff,ci_lo,ci_hi,mde80,effect_over_mde,excludes0,ref_ok
R10_5-8,hf_rms_2-10Hz,4,T64B-V282old,3.9679,1.5903,24,1,50,3,2.3777,1.243,3.2786,1.2544,1.8955,True,True
R10_5-8,hf_rms_2-10Hz,4,T64B-V282pool,3.9679,1.8366,24,1,83,6,2.1313,1.1888,2.9373,1.1303,1.8856,True,True
R10_5-8,hf_rms_2-10Hz,4,T64B-V282_LOO,3.9679,2.1979,24,1,12,2,1.7701,0.8267,2.6317,1.1384,1.5549,True,False
R10_5-8,hf_rms_2-10Hz,4,T5-V282,3.7094,2.0853,10,1,33,3,1.6241,0.4307,4.0742,2.2811,0.712,True,False
R10_5-8,hf_rms_2-10Hz,4,T5-V282old,3.7094,1.5903,10,1,50,3,2.1191,0.8618,4.5844,2.3744,0.8925,True,True
R10_5-8,hf_rms_2-10Hz,4,T5-V282pool,3.7094,1.8366,10,1,83,6,1.8728,0.7907,4.3457,2.2694,0.8252,True,True
R10_5-8,hf_rms_2-10Hz,4,T5-V282_LOO,3.7094,2.1979,10,1,12,2,1.5115,0.3339,4.0037,2.3116,0.6539,True,False
R10_5-8,hf_rms_2-10Hz,4,T4-V282,4.9593,2.0853,30,1,33,3,2.874,0.9893,3.5134,1.9948,1.4408,True,False
R10_5-8,hf_rms_2-10Hz,4,T4-V282old,4.9593,1.5903,30,1,50,3,3.3691,1.5049,4.0942,2.0912,1.6111,True,True
R10_5-8,hf_rms_2-10Hz,4,T4-V282pool,4.9593,1.8366,30,1,83,6,3.1227,1.3735,3.826,2.0081,1.5551,True,True
R10_5-8,hf_rms_2-10Hz,4,T4-V282_LOO,4.9593,2.1979,30,1,12,2,2.7615,0.9417,3.4597,1.9955,1.3839,True,False
R10_5-8,hf_rms_2-10Hz,4,V282old-V282,1.5903,2.0853,50,3,33,3,-0.495,-1.016,0.0147,0.8826,0.5609,False,False
R10_5-8,travel_conc,4,T64-V282,0.361,0.2355,18,2,33,3,0.1254,0.0185,0.2006,0.1219,1.0289,True,False
R10_5-8,travel_conc,4,T64-V282old,0.361,0.2044,18,2,50,3,0.1565,0.0381,0.2018,0.1415,1.1064,True,True
R10_5-8,travel_conc,4,T64-V282pool,0.361,0.2171,18,2,83,6,0.1439,0.0341,0.1834,0.1134,1.2692,True,True
R10_5-8,travel_conc,4,T64-V282_LOO,0.361,0.218,18,2,12,2,0.143,0.0377,0.2134,0.1282,1.115,True,False
R10_5-8,travel_conc,4,T64B-V282,0.3907,0.2355,24,1,33,3,0.1552,0.0749,0.2424,0.1142,1.3589,True,False
R10_5-8,travel_conc,4,T64B-V282old,0.3907,0.2044,24,1,50,3,0.1863,0.069,0.257,0.1341,1.389,True,True
R10_5-8,travel_conc,4,T64B-V282pool,0.3907,0.2171,24,1,83,6,0.1737,0.0954,0.2453,0.1014,1.7124,True,True
R10_5-8,travel_conc,4,T64B-V282_LOO,0.3907,0.218,24,1,12,2,0.1727,0.0925,0.2606,0.1179,1.4647,True,False
R10_5-8,travel_conc,4,T5-V282,0.2395,0.2355,10,1,33,3,0.004,-0.0283,0.0792,0.0738,0.0536,False,False
R10_5-8,travel_conc,4,T5-V282old,0.2395,0.2044,10,1,50,3,0.035,-0.0637,0.0766,0.0989,0.3544,False,True
R10_5-8,travel_conc,4,T5-V282pool,0.2395,0.2171,10,1,83,6,0.0224,-0.0163,0.0635,0.0554,0.4043,False,True
R10_5-8,travel_conc,4,T5-V282_LOO,0.2395,0.218,10,1,12,2,0.0215,-0.0207,0.0949,0.0843,0.2547,False,False
R10_5-8,travel_conc,4,T4-V282,0.3799,0.2355,30,1,33,3,0.1444,0.0867,0.2363,0.1084,1.3312,True,False
R10_5-8,travel_conc,4,T4-V282old,0.3799,0.2044,30,1,50,3,0.1755,0.0691,0.2494,0.1254,1.3994,True,True
R10_5-8,travel_conc,4,T4-V282pool,0.3799,0.2171,30,1,83,6,0.1628,0.1013,0.2346,0.094,1.7318,True,True
R10_5-8,travel_conc,4,T4-V282_LOO,0.3799,0.218,30,1,12,2,0.1619,0.1017,0.2609,0.1122,1.4425,True,False
R10_5-8,travel_conc,4,V282old-V282,0.2044,0.2355,50,3,33,3,-0.0311,-0.068,0.0678,0.115,0.2703,False,False
R10_5-8,dwelljump_per100deg,4,T64-V282,1.763,1.1869,18,2,33,3,0.576,-1.222,4.4788,4.0947,0.1407,False,False
R10_5-8,dwelljump_per100deg,4,T64-V282old,1.763,1.0151,18,2,50,3,0.7478,-2.6215,4.5843,4.8528,0.1541,False,True
R10_5-8,dwelljump_per100deg,4,T64-V282pool,1.763,1.0866,18,2,83,6,0.6763,-1.3221,4.5174,3.9463,0.1714,False,True
R10_5-8,dwelljump_per100deg,4,T64-V282_LOO,1.763,0.6634,18,2,12,2,1.0996,-0.9659,5.0216,4.149,0.265,False,False
R10_5-8,dwelljump_per100deg,4,T64B-V282,2.3483,1.1869,24,1,33,3,1.1614,-0.8767,3.4203,3.083,0.3767,False,False
R10_5-8,dwelljump_per100deg,4,T64B-V282old,2.3483,1.0151,24,1,50,3,1.3332,-2.1304,3.4918,4.0461,0.3295,False,True
R10_5-8,dwelljump_per100deg,4,T64B-V282pool,2.3483,1.0866,24,1,83,6,1.2617,-0.9058,3.3722,3.0597,0.4124,False,True
R10_5-8,dwelljump_per100deg,4,T64B-V282_LOO,2.3483,0.6634,24,1,12,2,1.6849,-0.7651,3.9404,3.3123,0.5087,False,False
R10_5-8,dwelljump_per100deg,4,T5-V282,0.0,1.1869,10,1,33,3,-1.1869,-2.3001,0.0,1.7859,0.6646,False,False
R10_5-8,dwelljump_per100deg,4,T5-V282old,0.0,1.0151,10,1,50,3,-1.0151,-4.1539,0.0,3.0189,0.3363,False,True
R10_5-8,dwelljump_per100deg,4,T5-V282pool,0.0,1.0866,10,1,83,6,-1.0866,-2.4299,-0.3052,1.4729,0.7377,True,True
R10_5-8,dwelljump_per100deg,4,T5-V282_LOO,0.0,0.6634,10,1,12,2,-0.6634,-2.2217,0.0,1.8958,0.3499,False,False
R10_5-8,dwelljump_per100deg,4,T4-V282,3.5712,1.1869,30,1,33,3,2.3843,-0.1134,6.8353,4.8056,0.4962,False,False
R10_5-8,dwelljump_per100deg,4,T4-V282old,3.5712,1.0151,30,1,50,3,2.5561,-1.2067,6.6696,5.4923,0.4654,False,True
R10_5-8,dwelljump_per100deg,4,T4-V282pool,3.5712,1.0866,30,1,83,6,2.4846,-0.1061,6.5926,4.782,0.5196,False,True
R10_5-8,dwelljump_per100deg,4,T4-V282_LOO,3.5712,0.6634,30,1,12,2,2.9078,0.2676,7.1408,4.9137,0.5918,True,False
R10_5-8,dwelljump_per100deg,4,V282old-V282,1.0151,1.1869,50,3,33,3,-0.1718,-1.642,3.2892,3.4635,0.0496,False,False
R10_5-8,rate_lag_excess,5,T64-V282,0.001,0.06,7,2,14,3,-0.059,-0.174,0.371,0.4242,0.1391,False,False
R10_5-8,rate_lag_excess,5,T64-V282old,0.001,0.11,7,2,31,3,-0.109,-0.229,0.311,0.4252,0.2564,False,True
R10_5-8,rate_lag_excess,5,T64-V282pool,0.001,0.09,7,2,45,6,-0.089,-0.1993,0.331,0.4232,0.2103,False,True
R10_5-8,rate_lag_excess,5,T64-V282_LOO,0.001,0.07,7,2,5,2,-0.069,-0.179,0.3412,0.4214,0.1638,False,False
R10_5-8,rate_lag_excess,5,T64B-V282,0.0578,0.06,19,1,14,3,-0.0022,-0.1122,0.0278,0.1241,0.0178,False,False
R10_5-8,rate_lag_excess,5,T64B-V282old,0.0578,0.11,19,1,31,3,-0.0522,-0.1622,-0.0022,0.1388,0.3761,True,True
R10_5-8,rate_lag_excess,5,T64B-V282pool,0.0578,0.09,19,1,45,6,-0.0322,-0.1472,0.0078,0.1324,0.2433,False,True
R10_5-8,rate_lag_excess,5,T64B-V282_LOO,0.0578,0.07,19,1,5,2,-0.0122,-0.1222,0.018,0.1272,0.096,False,False
R10_5-8,rate_lag_excess,5,T5-V282,0.2242,0.06,4,1,14,3,0.1642,0.0942,0.3342,0.1607,1.0219,True,False
R10_5-8,rate_lag_excess,5,T5-V282old,0.2242,0.11,4,1,31,3,0.1142,0.0442,0.2893,0.1723,0.6627,True,True
R10_5-8,rate_lag_excess,5,T5-V282pool,0.2242,0.09,4,1,45,6,0.1342,0.0642,0.3042,0.1648,0.8145,True,True
R10_5-8,rate_lag_excess,5,T5-V282_LOO,0.2242,0.07,4,1,5,2,0.1542,0.0892,0.3242,0.163,0.9459,True,False
R10_5-8,rate_lag_excess,5,T4-V282,0.1804,0.06,22,1,14,3,0.1204,0.0754,0.1754,0.0705,1.7083,True,False
R10_5-8,rate_lag_excess,5,T4-V282old,0.1804,0.11,22,1,31,3,0.0704,0.0054,0.1404,0.0918,0.7673,True,True
R10_5-8,rate_lag_excess,5,T4-V282pool,0.1804,0.09,22,1,45,6,0.0904,0.0454,0.1554,0.0805,1.1237,True,True
R10_5-8,rate_lag_excess,5,T4-V282_LOO,0.1804,0.07,22,1,5,2,0.1104,0.0704,0.1704,0.0734,1.5037,True,False
R10_5-8,rate_lag_excess,5,V282old-V282,0.11,0.06,31,3,14,3,0.05,-0.01,0.11,0.08,0.6247,False,False
R10_5-8,rate_lag,5,T64-V282,0.3,0.26,7,2,14,3,0.04,-0.07,0.47,0.4242,0.0943,False,False
R10_5-8,rate_lag,5,T64-V282old,0.3,0.31,7,2,31,3,-0.01,-0.11,0.43,0.4242,0.0236,False,True
R10_5-8,rate_lag,5,T64-V282pool,0.3,0.29,7,2,45,6,0.01,-0.09,0.44,0.4245,0.0236,False,True
R10_5-8,rate_lag,5,T64-V282_LOO,0.3,0.27,7,2,5,2,0.03,-0.0702,0.45,0.4236,0.0708,False,False
R10_5-8,rate_lag,5,T64B-V282,0.36,0.26,19,1,14,3,0.1,-0.01,0.13,0.1174,0.8518,False,False
R10_5-8,rate_lag,5,T64B-V282old,0.36,0.31,19,1,31,3,0.05,-0.06,0.1,0.134,0.3731,False,True
R10_5-8,rate_lag,5,T64B-V282pool,0.36,0.29,19,1,45,6,0.07,-0.04,0.115,0.1253,0.5589,False,True
R10_5-8,rate_lag,5,T64B-V282_LOO,0.36,0.27,19,1,5,2,0.09,-0.02,0.13,0.1217,0.7397,False,False
R10_5-8,rate_lag,5,T5-V282,0.51,0.26,4,1,14,3,0.25,0.18,0.42,0.1598,1.5649,True,False
R10_5-8,rate_lag,5,T5-V282old,0.51,0.31,4,1,31,3,0.2,0.13,0.3702,0.1686,1.1866,True,True
R10_5-8,rate_lag,5,T5-V282pool,0.51,0.29,4,1,45,6,0.22,0.15,0.39,0.1639,1.3424,True,True
R10_5-8,rate_lag,5,T5-V282_LOO,0.51,0.27,4,1,5,2,0.24,0.17,0.41,0.1605,1.4955,True,False
R10_5-8,rate_lag,5,T4-V282,0.46,0.26,22,1,14,3,0.2,0.16,0.255,0.0684,2.9228,True,False
R10_5-8,rate_lag,5,T4-V282old,0.46,0.31,22,1,31,3,0.15,0.1,0.225,0.0875,1.714,True,True
R10_5-8,rate_lag,5,T4-V282pool,0.46,0.29,22,1,45,6,0.17,0.13,0.235,0.0771,2.2052,True,True
R10_5-8,rate_lag,5,T4-V282_LOO,0.46,0.27,22,1,5,2,0.19,0.15,0.25,0.0738,2.5731,True,False
R10_5-8,rate_lag,5,V282old-V282,0.31,0.26,31,3,14,3,0.05,0.0,0.09,0.071,0.704,False,False
R10_5-8,rate_gain,5,T64-V282,0.8139,0.738,7,2,14,3,0.076,-0.2075,0.7519,0.8865,0.0857,False,False
R10_5-8,rate_gain,5,T64-V282old,0.8139,0.7323,7,2,31,3,0.0816,-0.2691,0.8717,0.9371,0.0871,False,True
R10_5-8,rate_gain,5,T64-V282pool,0.8139,0.7323,7,2,45,6,0.0816,-0.2297,0.7902,0.9063,0.0901,False,True
R10_5-8,rate_gain,5,T64-V282_LOO,0.8139,0.7535,7,2,5,2,0.0604,-0.2075,0.7785,0.8917,0.0677,False,False
R10_5-8,rate_gain,5,T64B-V282,0.7628,0.738,19,1,14,3,0.0248,-0.3492,0.1279,0.3417,0.0726,False,False
R10_5-8,rate_gain,5,T64B-V282old,0.7628,0.7323,19,1,31,3,0.0304,-0.3436,0.3182,0.4861,0.0626,False,True
R10_5-8,rate_gain,5,T64B-V282pool,0.7628,0.7323,19,1,45,6,0.0304,-0.3544,0.2275,0.3858,0.0789,False,True
R10_5-8,rate_gain,5,T64B-V282_LOO,0.7628,0.7535,19,1,5,2,0.0092,-0.3499,0.2049,0.3591,0.0257,False,False
R10_5-8,rate_gain,5,T5-V282,0.8964,0.738,4,1,14,3,0.1585,-0.3993,0.4803,0.6706,0.2363,False,False
R10_5-8,rate_gain,5,T5-V282old,0.8964,0.7323,4,1,31,3,0.1641,-0.3937,0.6393,0.7512,0.2185,False,True
R10_5-8,rate_gain,5,T5-V282pool,0.8964,0.7323,4,1,45,6,0.1641,-0.383,0.5267,0.6853,0.2395,False,True
R10_5-8,rate_gain,5,T5-V282_LOO,0.8964,0.7535,4,1,5,2,0.1429,-0.4149,0.4799,0.6759,0.2114,False,False
R10_5-8,rate_gain,5,T4-V282,0.5481,0.738,22,1,14,3,-0.1899,-0.3414,0.0323,0.2911,0.6524,False,False
R10_5-8,rate_gain,5,T4-V282old,0.5481,0.7323,22,1,31,3,-0.1843,-0.3906,0.183,0.4339,0.4247,False,True
R10_5-8,rate_gain,5,T4-V282pool,0.5481,0.7323,22,1,45,6,-0.1843,-0.359,0.0933,0.328,0.5618,False,True
R10_5-8,rate_gain,5,T4-V282_LOO,0.5481,0.7535,22,1,5,2,-0.2055,-0.3396,0.0541,0.2924,0.7028,False,False
R10_5-8,rate_gain,5,V282old-V282,0.7323,0.738,31,3,14,3,-0.0056,-0.284,0.1453,0.3527,0.016,False,False
R10_5-8,rate_peak_ratio,5,T64-V282,1.4095,0.8594,7,2,14,3,0.5502,-0.105,6.3302,4.1012,0.1341,False,False
R10_5-8,rate_peak_ratio,5,T64-V282old,1.4095,0.8694,7,2,31,3,0.5402,-0.0996,6.2906,4.1168,0.1312,False,True
R10_5-8,rate_peak_ratio,5,T64-V282pool,1.4095,0.8666,7,2,45,6,0.543,-0.0766,6.3137,4.1073,0.1322,False,True
R10_5-8,rate_peak_ratio,5,T64-V282_LOO,1.4095,0.8519,7,2,5,2,0.5577,-0.0983,6.3637,4.0993,0.136,False,False
R10_5-8,rate_peak_ratio,5,T64B-V282,1.2106,0.8594,19,1,14,3,0.3513,0.0599,0.8759,0.5363,0.655,True,False
R10_5-8,rate_peak_ratio,5,T64B-V282old,1.2106,0.8694,19,1,31,3,0.3413,0.0504,1.0228,0.708,0.482,True,True
R10_5-8,rate_peak_ratio,5,T64B-V282pool,1.2106,0.8666,19,1,45,6,0.3441,0.0597,0.9153,0.5648,0.6092,True,True
R10_5-8,rate_peak_ratio,5,T64B-V282_LOO,1.2106,0.8519,19,1,5,2,0.3588,0.0958,0.8841,0.5304,0.6764,True,False
R10_5-8,rate_peak_ratio,5,T5-V282,1.4593,0.8594,4,1,14,3,0.5999,0.1755,1.1478,0.8065,0.7439,True,False
R10_5-8,rate_peak_ratio,5,T5-V282old,1.4593,0.8694,4,1,31,3,0.59,0.1579,1.3444,0.9329,0.6324,True,True
R10_5-8,rate_peak_ratio,5,T5-V282pool,1.4593,0.8666,4,1,45,6,0.5928,0.1838,1.1624,0.8252,0.7183,True,True
R10_5-8,rate_peak_ratio,5,T5-V282_LOO,1.4593,0.8519,4,1,5,2,0.6074,0.2095,1.1624,0.8012,0.7582,True,False
R10_5-8,rate_peak_ratio,5,T4-V282,1.2046,0.8594,22,1,14,3,0.3453,0.0144,1.0057,0.7009,0.4926,True,False
R10_5-8,rate_peak_ratio,5,T4-V282old,1.2046,0.8694,22,1,31,3,0.3353,-0.0133,1.1268,0.8232,0.4073,False,True
R10_5-8,rate_peak_ratio,5,T4-V282pool,1.2046,0.8666,22,1,45,6,0.3381,-0.0113,1.0187,0.7359,0.4594,False,True
R10_5-8,rate_peak_ratio,5,T4-V282_LOO,1.2046,0.8519,22,1,5,2,0.3528,0.0308,1.0059,0.6994,0.5044,True,False
R10_5-8,rate_peak_ratio,5,V282old-V282,0.8694,0.8594,31,3,14,3,0.01,-0.4221,0.122,0.4664,0.0214,False,False
R10_5-8,rate_overrun,5,T64-V282,0.5017,0.2088,6,2,14,3,0.2929,-0.2598,0.5034,0.5583,0.5246,False,False
R10_5-8,rate_overrun,5,T64-V282old,0.5017,0.2655,6,2,28,3,0.2362,-0.3104,0.4613,0.5454,0.433,False,True
R10_5-8,rate_overrun,5,T64-V282pool,0.5017,0.2508,6,2,42,6,0.2508,-0.2745,0.4774,0.5237,0.479,False,True
R10_5-8,rate_overrun,5,T64-V282_LOO,0.5017,0.13,6,2,5,2,0.3717,-0.3528,0.5386,0.5988,0.6207,False,False
R10_5-8,rate_overrun,5,T64B-V282,0.4402,0.2088,18,1,14,3,0.2314,-0.075,0.5078,0.3909,0.592,False,False
R10_5-8,rate_overrun,5,T64B-V282old,0.4402,0.2655,18,1,28,3,0.1747,-0.1055,0.428,0.3677,0.475,False,True
R10_5-8,rate_overrun,5,T64B-V282pool,0.4402,0.2508,18,1,42,6,0.1894,-0.0701,0.4576,0.3498,0.5413,False,True
R10_5-8,rate_overrun,5,T64B-V282_LOO,0.4402,0.13,18,1,5,2,0.3102,-0.1331,0.5409,0.4509,0.688,False,False
R10_5-8,rate_overrun,5,T5-V282,0.4237,0.2088,4,1,14,3,0.2149,-0.0169,0.5184,0.3724,0.5771,False,False
R10_5-8,rate_overrun,5,T5-V282old,0.4237,0.2655,4,1,28,3,0.1581,-0.049,0.43,0.3495,0.4524,False,True
R10_5-8,rate_overrun,5,T5-V282pool,0.4237,0.2508,4,1,42,6,0.1728,0.0043,0.4562,0.337,0.5128,True,True
R10_5-8,rate_overrun,5,T5-V282_LOO,0.4237,0.13,4,1,5,2,0.2937,-0.0688,0.5444,0.4343,0.6762,False,False
R10_5-8,rate_overrun,5,T4-V282,0.3695,0.2088,22,1,14,3,0.1607,-0.0948,0.3106,0.3075,0.5226,False,False
R10_5-8,rate_overrun,5,T4-V282old,0.3695,0.2655,22,1,28,3,0.104,-0.1049,0.2645,0.2787,0.373,False,True
R10_5-8,rate_overrun,5,T4-V282pool,0.3695,0.2508,22,1,42,6,0.1186,-0.0764,0.2893,0.2694,0.4404,False,True
R10_5-8,rate_overrun,5,T4-V282_LOO,0.3695,0.13,22,1,5,2,0.2395,-0.1377,0.3279,0.3818,0.6273,False,False
R10_5-8,rate_overrun,5,V282old-V282,0.2655,0.2088,28,3,14,3,0.0567,-0.1986,0.2758,0.3645,0.1557,False,False
R10_5-8,rate_rough,5,T64-V282,0.3254,0.1075,7,2,14,3,0.2179,0.0835,0.5212,0.3447,0.6321,True,False
R10_5-8,rate_rough,5,T64-V282old,0.3254,0.1377,7,2,31,3,0.1877,0.0561,0.4664,0.3388,0.5539,True,True
R10_5-8,rate_rough,5,T64-V282pool,0.3254,0.1243,7,2,45,6,0.2011,0.0685,0.4887,0.3405,0.5904,True,True
R10_5-8,rate_rough,5,T64-V282_LOO,0.3254,0.1083,7,2,5,2,0.2171,0.0249,0.5481,0.3739,0.5807,True,False
R10_5-8,rate_rough,5,T64B-V282,0.2626,0.1075,19,1,14,3,0.1551,0.0687,0.2212,0.097,1.5994,True,False
R10_5-8,rate_rough,5,T64B-V282old,0.2626,0.1377,19,1,31,3,0.1249,0.0767,0.1638,0.0626,1.9956,True,True
R10_5-8,rate_rough,5,T64B-V282pool,0.2626,0.1243,19,1,45,6,0.1383,0.0821,0.1793,0.0691,2.0027,True,True
R10_5-8,rate_rough,5,T64B-V282_LOO,0.2626,0.1083,19,1,5,2,0.1543,0.0006,0.2368,0.1693,0.9119,True,False
R10_5-8,rate_rough,5,T5-V282,0.3458,0.1075,4,1,14,3,0.2383,0.1303,0.3952,0.2016,1.1821,True,False
R10_5-8,rate_rough,5,T5-V282old,0.3458,0.1377,4,1,31,3,0.2081,0.0993,0.3641,0.1915,1.0864,True,True
R10_5-8,rate_rough,5,T5-V282pool,0.3458,0.1243,4,1,45,6,0.2215,0.1104,0.3753,0.1902,1.1646,True,True
R10_5-8,rate_rough,5,T5-V282_LOO,0.3458,0.1083,4,1,5,2,0.2375,0.0596,0.3999,0.2468,0.9621,True,False
R10_5-8,rate_rough,5,T4-V282,0.314,0.1075,22,1,14,3,0.2065,0.0746,0.2944,0.1673,1.2342,True,False
R10_5-8,rate_rough,5,T4-V282old,0.314,0.1377,22,1,31,3,0.1763,0.0481,0.2448,0.1524,1.1564,True,True
R10_5-8,rate_rough,5,T4-V282pool,0.314,0.1243,22,1,45,6,0.1897,0.0625,0.2578,0.1532,1.2384,True,True
R10_5-8,rate_rough,5,T4-V282_LOO,0.314,0.1083,22,1,5,2,0.2057,0.0186,0.3067,0.2149,0.9571,True,False
R10_5-8,rate_rough,5,V282old-V282,0.1377,0.1075,31,3,14,3,0.0302,-0.0496,0.1025,0.0949,0.3185,False,False
R10_5-8,rate_travel_ratio,5,T64-V282,1.2213,1.1798,4,2,9,3,0.0415,-0.8053,0.9155,1.1481,0.0361,False,False
R10_5-8,rate_travel_ratio,5,T64-V282old,1.2213,0.8818,4,2,17,3,0.3394,-0.4502,1.0925,1.0136,0.3349,False,True
R10_5-8,rate_travel_ratio,5,T64-V282pool,1.2213,0.9401,4,2,26,6,0.2812,-0.5152,1.0914,1.0396,0.2705,False,True
R10_5-8,rate_travel_ratio,5,T64-V282_LOO,1.2213,0.9929,4,2,4,2,0.2284,-0.5714,0.9803,1.112,0.2054,False,False
R10_5-8,rate_travel_ratio,5,T64B-V282,0.9216,1.1798,16,1,9,3,-0.2582,-0.8413,0.2633,0.8168,0.3161,False,False
R10_5-8,rate_travel_ratio,5,T64B-V282old,0.9216,0.8818,16,1,17,3,0.0397,-0.5805,0.2348,0.5883,0.0675,False,True
R10_5-8,rate_travel_ratio,5,T64B-V282pool,0.9216,0.9401,16,1,26,6,-0.0185,-0.6329,0.2098,0.6378,0.029,False,True
R10_5-8,rate_travel_ratio,5,T64B-V282_LOO,0.9216,0.9929,16,1,4,2,-0.0714,-0.7245,0.2779,0.7517,0.0949,False,False
R10_5-8,rate_travel_ratio,5,T5-V282,0.8109,1.1798,4,1,9,3,-0.3689,-0.5643,0.2831,0.7037,0.5242,False,False
R10_5-8,rate_travel_ratio,5,T5-V282old,0.8109,0.8818,4,1,17,3,-0.0709,-0.2572,0.4215,0.4603,0.1541,False,True
R10_5-8,rate_travel_ratio,5,T5-V282pool,0.8109,0.9401,4,1,26,6,-0.1292,-0.4389,0.3428,0.5126,0.252,False,True
R10_5-8,rate_travel_ratio,5,T5-V282_LOO,0.8109,0.9929,4,1,4,2,-0.182,-0.5699,0.3104,0.6472,0.2812,False,False
R10_5-8,rate_travel_ratio,5,T4-V282,0.5741,1.1798,14,1,9,3,-0.6057,-0.9585,0.0698,0.7587,0.7984,False,False
R10_5-8,rate_travel_ratio,5,T4-V282old,0.5741,0.8818,14,1,17,3,-0.3077,-0.6487,-0.0021,0.5231,0.5882,True,True
R10_5-8,rate_travel_ratio,5,T4-V282pool,0.5741,0.9401,14,1,26,6,-0.366,-0.722,-0.0048,0.5596,0.654,True,True
R10_5-8,rate_travel_ratio,5,T4-V282_LOO,0.5741,0.9929,14,1,4,2,-0.4188,-0.8943,0.0839,0.7073,0.5921,False,False
R10_5-8,rate_travel_ratio,5,V282old-V282,0.8818,1.1798,17,3,9,3,-0.298,-0.4555,0.1925,0.6062,0.4915,False,False
R10_5-8,rate_conc,5,T64-V282,0.3843,0.2354,7,2,14,3,0.1489,0.0795,0.2883,0.1577,0.9441,True,False
R10_5-8,rate_conc,5,T64-V282old,0.3843,0.2642,7,2,31,3,0.1202,0.0364,0.2635,0.1648,0.729,True,True
R10_5-8,rate_conc,5,T64-V282pool,0.3843,0.256,7,2,45,6,0.1284,0.0609,0.2778,0.1601,0.8019,True,True
R10_5-8,rate_conc,5,T64-V282_LOO,0.3843,0.2327,7,2,5,2,0.1516,0.0815,0.2924,0.1578,0.9606,True,False
R10_5-8,rate_conc,5,T64B-V282,0.3835,0.2354,19,1,14,3,0.1481,0.1019,0.1955,0.0779,1.9016,True,False
R10_5-8,rate_conc,5,T64B-V282old,0.3835,0.2642,19,1,31,3,0.1194,0.0613,0.1747,0.0916,1.3038,True,True
R10_5-8,rate_conc,5,T64B-V282pool,0.3835,0.256,19,1,45,6,0.1276,0.0775,0.1839,0.0815,1.5654,True,True
R10_5-8,rate_conc,5,T64B-V282_LOO,0.3835,0.2327,19,1,5,2,0.1508,0.1032,0.1953,0.0794,1.9003,True,False
R10_5-8,rate_conc,5,T5-V282,0.3036,0.2354,4,1,14,3,0.0682,-0.0083,0.1156,0.103,0.6622,False,False
R10_5-8,rate_conc,5,T5-V282old,0.3036,0.2642,4,1,31,3,0.0394,-0.0491,0.0988,0.1124,0.3509,False,True
R10_5-8,rate_conc,5,T5-V282pool,0.3036,0.256,4,1,45,6,0.0476,-0.0341,0.1047,0.1064,0.4476,False,True
R10_5-8,rate_conc,5,T5-V282_LOO,0.3036,0.2327,4,1,5,2,0.0709,-0.0083,0.1178,0.102,0.6945,False,False
R10_5-8,rate_conc,5,T4-V282,0.4566,0.2354,22,1,14,3,0.2212,0.1719,0.2703,0.0715,3.0931,True,False
R10_5-8,rate_conc,5,T4-V282old,0.4566,0.2642,22,1,31,3,0.1924,0.1371,0.2526,0.0851,2.2613,True,True
R10_5-8,rate_conc,5,T4-V282pool,0.4566,0.256,22,1,45,6,0.2006,0.145,0.2596,0.0782,2.5656,True,True
R10_5-8,rate_conc,5,T4-V282_LOO,0.4566,0.2327,22,1,5,2,0.2238,0.1776,0.2744,0.0729,3.0706,True,False
R10_5-8,rate_conc,5,V282old-V282,0.2642,0.2354,31,3,14,3,0.0288,-0.02,0.0776,0.072,0.3994,False,False
R10_5-8,rate_hf_per_peak,5,T64-V282,0.3224,0.1097,7,2,14,3,0.2128,0.0521,0.4854,0.3018,0.7051,True,False
R10_5-8,rate_hf_per_peak,5,T64-V282old,0.3224,0.1016,7,2,31,3,0.2208,0.0647,0.4921,0.2967,0.744,True,True
R10_5-8,rate_hf_per_peak,5,T64-V282pool,0.3224,0.1016,7,2,45,6,0.2208,0.0578,0.4829,0.2954,0.7475,True,True
R10_5-8,rate_hf_per_peak,5,T64-V282_LOO,0.3224,0.1354,7,2,5,2,0.187,0.0307,0.503,0.3164,0.5911,True,False
R10_5-8,rate_hf_per_peak,5,T64B-V282,0.2375,0.1097,19,1,14,3,0.1278,0.0381,0.1911,0.1094,1.1688,True,False
R10_5-8,rate_hf_per_peak,5,T64B-V282old,0.2375,0.1016,19,1,31,3,0.1358,0.0563,0.1762,0.0877,1.5494,True,True
R10_5-8,rate_hf_per_peak,5,T64B-V282pool,0.2375,0.1016,19,1,45,6,0.1358,0.0536,0.1701,0.0861,1.5785,True,True
R10_5-8,rate_hf_per_peak,5,T64B-V282_LOO,0.2375,0.1354,19,1,5,2,0.1021,0.0209,0.1989,0.1332,0.7663,True,False
R10_5-8,rate_hf_per_peak,5,T5-V282,0.32,0.1097,4,1,14,3,0.2104,0.1221,0.3332,0.1582,1.3298,True,False
R10_5-8,rate_hf_per_peak,5,T5-V282old,0.32,0.1016,4,1,31,3,0.2184,0.1436,0.3525,0.15,1.4556,True,True
R10_5-8,rate_hf_per_peak,5,T5-V282pool,0.32,0.1016,4,1,45,6,0.2184,0.1442,0.3538,0.1477,1.4785,True,True
R10_5-8,rate_hf_per_peak,5,T5-V282_LOO,0.32,0.1354,4,1,5,2,0.1846,0.1141,0.3525,0.1735,1.0642,True,False
