iso_time,mono_s,elapsed_s,ok,max,avg,coltq,angle,raw_hex
2026-07-10T12:31:09.287,33814.4893,0.0161,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:09.457,33814.6597,0.1865,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:09.506,33814.7088,0.2356,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:09.556,33814.7583,0.2851,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:09.606,33814.8084,0.3352,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:09.656,33814.8583,0.3850,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:09.706,33814.9090,0.4358,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:09.756,33814.9584,0.4852,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:09.806,33815.0083,0.5351,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:09.857,33815.0596,0.5864,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:09.906,33815.1086,0.6354,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:09.956,33815.1583,0.6851,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.006,33815.2086,0.7354,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.056,33815.2591,0.7859,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.106,33815.3084,0.8352,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.156,33815.3583,0.8850,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.206,33815.4083,0.9350,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.256,33815.4585,0.9852,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.316,33815.5191,1.0459,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.486,33815.6889,1.2157,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.536,33815.7385,1.2653,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.586,33815.7891,1.3159,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.636,33815.8388,1.3656,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.686,33815.8885,1.4152,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.736,33815.9390,1.4657,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.786,33815.9885,1.5152,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.837,33816.0395,1.5662,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.886,33816.0884,1.6151,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.937,33816.1401,1.6669,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:10.987,33816.1895,1.7163,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.036,33816.2391,1.7659,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.086,33816.2883,1.8151,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.136,33816.3389,1.8657,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.186,33816.3889,1.9156,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.236,33816.4386,1.9654,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.286,33816.4889,2.0157,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.346,33816.5491,2.0759,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.516,33816.7190,2.2457,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.566,33816.7691,2.2959,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.616,33816.8185,2.3453,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.667,33816.8698,2.3966,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.716,33816.9184,2.4452,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.766,33816.9692,2.4960,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.816,33817.0189,2.5456,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.866,33817.0691,2.5958,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.916,33817.1186,2.6454,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:11.966,33817.1686,2.6954,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.016,33817.2191,2.7458,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.066,33817.2684,2.7951,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.117,33817.3194,2.8461,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.166,33817.3692,2.8960,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.217,33817.4196,2.9464,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.266,33817.4686,2.9954,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.316,33817.5192,3.0459,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.377,33817.5796,3.1063,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.546,33817.7488,3.2755,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.598,33817.8006,3.3274,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.646,33817.8487,3.3755,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.698,33817.9003,3.4270,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.746,33817.9487,3.4755,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.796,33817.9987,3.5255,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.846,33818.0484,3.5752,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.896,33818.0991,3.6259,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.947,33818.1493,3.6761,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.997,33818.1993,3.7261,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.046,33818.2492,3.7760,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.096,33818.2988,3.8256,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.146,33818.3492,3.8760,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.196,33818.3983,3.9251,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.246,33818.4489,3.9757,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.296,33818.4988,4.0256,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.346,33818.5487,4.0755,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.406,33818.6083,4.1351,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.853,33818.7792,4.3060,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.903,33818.8292,4.3560,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:12.953,33818.8792,4.4060,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.002,33818.9287,4.4555,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.052,33818.9786,4.5054,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.102,33819.0287,4.5555,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.152,33819.0784,4.6052,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.202,33819.1289,4.6556,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.252,33819.1786,4.7054,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.303,33819.2292,4.7559,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.353,33819.2794,4.8061,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.403,33819.3290,4.8558,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.452,33819.3782,4.9050,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.502,33819.4284,4.9552,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.552,33819.4786,5.0054,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.602,33819.5288,5.0555,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.652,33819.5788,5.1056,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.712,33819.6388,5.1656,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.883,33819.8094,5.3362,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.932,33819.8588,5.3856,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:13.982,33819.9089,5.4357,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.032,33819.9588,5.4855,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.083,33820.0092,5.5360,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.132,33820.0588,5.5856,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.182,33820.1085,5.6352,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.232,33820.1588,5.6856,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.282,33820.2086,5.7354,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.332,33820.2589,5.7857,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.382,33820.3084,5.8352,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.432,33820.3588,5.8856,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.482,33820.4087,5.9355,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.533,33820.4590,5.9858,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.583,33820.5095,6.0363,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.632,33820.5583,6.0851,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.682,33820.6089,6.1356,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.743,33820.6691,6.1959,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.913,33820.8393,6.3661,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:14.963,33820.8895,6.4163,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:15.012,33820.9389,6.4657,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:15.062,33820.9885,6.5153,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:15.112,33821.0387,6.5654,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:15.162,33821.0889,6.6156,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:15.213,33821.1390,6.6658,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:15.263,33821.1891,6.7159,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:15.312,33821.2385,6.7652,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:15.362,33821.2889,6.8156,1,0,5828,104,0,0000c416680000000000
2026-07-10T12:31:15.412,33821.3385,6.8652,1,0,5828,104,0,0000c416680000000000
