iso_time,mono_s,elapsed_s,ok,max,avg,coltq,angle,raw_hex
2026-07-10T11:02:38.081,33062.8741,0.0156,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:38.474,33063.2663,0.4078,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:38.742,33063.5346,0.6760,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:39.012,33063.8048,0.9462,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:39.290,33064.0827,1.2242,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:39.683,33064.4755,1.6170,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:39.952,33064.7449,1.8863,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:40.221,33065.0142,2.1556,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:40.501,33065.2938,2.4353,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:40.894,33065.6862,2.8277,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:41.163,33065.9557,3.0971,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:41.432,33066.2243,3.3658,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:41.712,33066.5047,3.6462,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:42.105,33066.8975,4.0390,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:42.374,33067.1664,4.3079,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:42.643,33067.4354,4.5768,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2026-07-10T11:02:42.922,33067.7145,4.8559,1,0,5828,104,0,0000c41668000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
