iso_time,mono_s,elapsed_s,ok,max,avg,coltq,angle,raw_hex
2026-07-10T16:35:45.158,48252.5830,0.0206,1,0,0,113,64364,0000000071006cfb0000
2026-07-10T16:35:45.205,48252.6306,0.0683,1,0,0,150,64364,0000000096006cfb0000
2026-07-10T16:35:45.246,48252.6711,0.1087,1,0,0,131,64364,0000000083006cfb0000
2026-07-10T16:35:45.285,48252.7104,0.1480,1,0,0,113,64364,0000000071006cfb0000
2026-07-10T16:35:45.325,48252.7505,0.1881,1,0,0,85,64364,0000000055006cfb0000
2026-07-10T16:35:45.365,48252.7899,0.2275,1,0,0,103,64364,0000000067006cfb0000
2026-07-10T16:35:45.404,48252.8297,0.2674,1,0,0,94,64363,000000005e006bfb0000
2026-07-10T16:35:45.444,48252.8695,0.3071,1,0,0,113,64364,0000000071006cfb0000
2026-07-10T16:35:45.485,48252.9106,0.3483,1,0,0,122,64364,000000007a006cfb0000
2026-07-10T16:35:45.526,48252.9516,0.3892,1,0,0,150,64364,0000000096006cfb0000
2026-07-10T16:35:45.565,48252.9899,0.4275,1,0,0,159,64364,000000009f006cfb0000
2026-07-10T16:35:45.604,48253.0292,0.4669,1,0,0,94,64363,000000005e006bfb0000
2026-07-10T16:35:45.645,48253.0699,0.5076,1,0,0,38,64364,0000000026006cfb0000
2026-07-10T16:35:45.684,48253.1092,0.5469,1,0,0,10,64363,000000000a006bfb0000
2026-07-10T16:35:45.725,48253.1504,0.5880,1,0,0,122,64364,000000007a006cfb0000
2026-07-10T16:35:45.765,48253.1898,0.6275,1,0,0,169,64364,00000000a9006cfb0000
2026-07-10T16:35:45.805,48253.2301,0.6677,1,0,0,169,64364,00000000a9006cfb0000
2026-07-10T16:35:45.844,48253.2696,0.7073,1,0,0,141,64364,000000008d006cfb0000
2026-07-10T16:35:45.885,48253.3107,0.7483,1,0,0,1092,64339,00000000440453fb0000
2026-07-10T16:35:45.924,48253.3497,0.7874,1,0,0,3221,62986,00000000950c0af60000
2026-07-10T16:35:45.964,48253.3894,0.8270,1,0,0,3744,59749,00000000a00e65e90000
2026-07-10T16:35:46.005,48253.4299,0.8675,1,0,0,3006,56776,00000000be0bc8dd0000
2026-07-10T16:35:46.045,48253.4702,0.9078,1,0,0,2661,55153,00000000650a71d70000
2026-07-10T16:35:46.084,48253.5097,0.9473,1,0,0,2044,54962,00000000fc07b2d60000
2026-07-10T16:35:46.125,48253.5504,0.9880,1,0,0,1811,55519,000000001307dfd80000
2026-07-10T16:35:46.175,48253.6005,1.0381,1,0,0,2016,56123,00000000e0073bdb0000
2026-07-10T16:35:46.215,48253.6398,1.0775,1,0,0,2044,56385,00000000fc0741dc0000
2026-07-10T16:35:46.255,48253.6804,1.1181,1,0,0,2016,56593,00000000e00711dd0000
2026-07-10T16:35:46.294,48253.7196,1.1573,1,0,0,2035,56779,00000000f307cbdd0000
