iso_time,mono_s,elapsed_s,ok,max,avg,coltq,angle,raw_hex
2026-07-10T11:01:26.908,32989.5672,4.2520,1,14643,14649,11568,22100,33393939302d5456412c413136300000
2026-07-10T11:01:26.981,32989.6398,4.3246,1,14643,14649,11568,22100,33393939302d5456412c413136300000
2026-07-10T11:01:27.054,32989.7130,4.3978,1,14643,14649,11568,22100,33393939302d5456412c413136300000
2026-07-10T11:01:27.125,32989.7839,4.4687,1,14643,14649,11568,22100,33393939302d5456412c413136300000
2026-07-10T11:01:27.198,32989.8567,4.5416,1,14643,14649,11568,22100,33393939302d5456412c413136300000
2026-07-10T11:01:27.270,32989.9291,4.6139,1,14643,14649,11568,22100,33393939302d5456412c413136300000
2026-07-10T11:01:27.344,32990.0030,4.6878,1,14643,14649,11568,22100,33393939302d5456412c413136300000
2026-07-10T11:01:27.415,32990.0738,4.7586,1,14643,14649,11568,22100,33393939302d5456412c413136300000
2026-07-10T11:01:27.487,32990.1464,4.8312,1,14643,14649,11568,22100,33393939302d5456412c413136300000
2026-07-10T11:01:27.559,32990.2185,4.9033,1,14643,14649,11568,22100,33393939302d5456412c413136300000
2026-07-10T11:01:27.633,32990.2924,4.9773,1,14643,14649,11568,22100,33393939302d5456412c413136300000
