======================================================================================================================================
SECTION Q   CONTROL -- V282old (same V282 EPS, older fork, different roads) scored the same way
======================================================================================================================================
Question: is the torque mode's deficit distinguishable from ordinary fork/route variation?

       band       v  Q |               V282 |                    V282old vs V282 |                      TQall vs V282
  0.60-1.20    8-15  5 |  1.16  1.71   +301 |  1.08  1.65 0.97    -2     nan   19 |  1.85  2.64 1.54   -52   -0.78   55
  0.60-1.20   15-22  3 |  1.51  2.20   +282 |  1.28  2.03 0.92    -1     nan   23 |                 --                
  0.60-1.20   15-22  4 |  1.40  1.91   +275 |  1.31  1.84 0.96   -18     nan   25 |                 --                
  0.60-1.20   15-22  5 |  1.25  1.80   +292 |  1.46  1.76 0.98   -40     nan   11 |  1.89  2.42 1.34   -22   -0.32   52
  0.60-1.20   22-40  1 |  1.67  2.34   +263 |  1.71  2.35 1.00   -23     nan   23 |  1.73  2.41 1.03    +7    0.27   67
  0.60-1.20   22-40  2 |  1.67  2.18   +265 |  1.82  2.26 1.04   -10   -0.91   41 |  1.53  2.31 1.06   +14     nan   70
  0.60-1.20   22-40  3 |  1.78  2.20   +262 |  1.93  2.31 1.05    -9   -0.25   37 |  1.56  2.22 1.01   +18     nan   49
  0.60-1.20   22-40  4 |  1.73  2.12   +270 |  1.90  2.22 1.05   -23   -1.56   31 |  1.78  2.40 1.14    +2    0.13   25
  0.60-1.20   22-40  5 |  1.93  2.19   +267 |  1.77  2.02 0.92    -8     nan   27 |  1.98  2.27 1.04   -14     nan   18

V282old : 34 admissible cells with a positive coherent excess; median excess 0.20; LAG accounts for a median 36 % of it (IQR 21-63 %); >=60 % in 10/34 cells
TQall   : 41 admissible cells with a positive coherent excess; median excess 0.41; LAG accounts for a median 88 % of it (IQR 80-96 %); >=60 % in 36/41 cells
