========================================================================================================================================================
SERIES DECOMPOSITION, per route.  H_fork = model -> controller setpoint;  H_dwn = setpoint -> achieved;
  H_tot = model -> achieved.  lag in s.  'refFF pred' = the fork's own AccordRefFilter PHASE delay
  2*atan(w*RC)/w at the band centre (two cascaded first-order lags of RC each, latcontrol_torque.py:319-326).
  PHASE delay, not group delay, because lag_eq below is -phase/(2*pi*f) -- ALGEBRA on the filter alone,
  printed next to the MEASURED lag_fork.  Nothing here is chained into a closed-loop prediction.
========================================================================================================================================================

00000064--ce6b0b0ebb  V282      V282  refFilt ABSENT LAF6.0 Kp0.9 fric0.01 Ki0.3 obs- SR16.33
   band        v m/s       n/sec | H_fork   coh  lag_f refFF pred |  H_dwn   coh  lag_d |  H_tot   coh  lag_t | H_f*H_d lag_f+d
   1.00-2.00   0-8      65/ 333 |  1.150  0.95 +0.147      0.000 |  0.707  0.55 +0.108 |  0.867  0.53 +0.242 |   0.813  +0.256
   1.00-2.00   8-15     69/ 353 |  1.155  0.94 +0.156      0.000 |  0.590  0.47 +0.116 |  0.726  0.42 +0.239 |   0.682  +0.272
   1.00-2.00   15-22     74/ 379 |  1.109  0.94 +0.161      0.000 |  1.766  0.54 +0.015 |  2.372  0.62 +0.153 |   1.959  +0.176
   1.00-2.00   22-40    307/1572 |  1.106  0.95 +0.161      0.000 |  2.177  0.67 -0.004 |  2.860  0.73 +0.138 |   2.408  +0.158

00000039--f56039af87  V282old   V282old refFilt ABSENT LAF2.11 Kp0.8 fric0.03 SR12.5
   band        v m/s       n/sec | H_fork   coh  lag_f refFF pred |  H_dwn   coh  lag_d |  H_tot   coh  lag_t | H_f*H_d lag_f+d
   0.50-1.00   0-8      32/ 164 |  1.206  0.99 +0.091      0.000 |  0.585  0.76 +0.314 |  0.679  0.69 +0.292 |   0.706  +0.406
   0.50-1.00   8-15     43/ 220 |  1.224  0.98 +0.061      0.000 |  1.019  0.75 +0.208 |  1.243  0.72 +0.259 |   1.247  +0.269
   0.50-1.00   15-22     19/  97 |  1.256  0.96 +0.074      0.000 |  1.215  0.87 +0.155 |  1.516  0.83 +0.226 |   1.526  +0.229
   0.50-1.00   22-40     17/  87 |  1.229  0.98 +0.068      0.000 |  1.400  0.89 +0.173 |  1.710  0.87 +0.244 |   1.720  +0.241
   1.00-2.00   0-8      32/ 164 |  1.305  0.97 +0.165      0.000 |  0.242  0.38 +0.227 |  0.299  0.32 -0.209 |   0.315  +0.392
   1.00-2.00   8-15     43/ 220 |  1.077  0.93 +0.160      0.000 |  0.695  0.31 +0.085 |  0.870  0.30 +0.203 |   0.749  +0.245
   1.00-2.00   15-22     19/  97 |  1.149  0.93 +0.162      0.000 |  0.947  0.37 -0.032 |  1.270  0.40 +0.108 |   1.088  +0.131
   1.00-2.00   22-40     17/  87 |  1.052  0.94 +0.166      0.000 |  1.928  0.51 -0.019 |  2.632  0.63 +0.118 |   2.027  +0.147

0000003a--283a39a1d6  V282old   V282old refFilt ABSENT LAF4.0  Kp0.8 fric0.03 SR12.5
   band        v m/s       n/sec | H_fork   coh  lag_f refFF pred |  H_dwn   coh  lag_d |  H_tot   coh  lag_t | H_f*H_d lag_f+d
   0.10-0.25   22-40      9/ 184 |  1.048  1.00 +0.020      0.000 |  1.291  0.98 +0.337 |  1.353  0.97 +0.359 |   1.353  +0.357
   0.25-0.50   22-40      9/ 184 |  1.132  1.00 +0.041      0.000 |  1.162  0.94 +0.282 |  1.316  0.94 +0.321 |   1.315  +0.323
   0.50-1.00   0-8       5/  26 |  1.224  0.99 -0.017      0.000 |  1.119  0.97 +0.197 |  1.343  0.96 +0.178 |   1.370  +0.181
   0.50-1.00   8-15     10/  51 |  1.283  0.97 +0.052      0.000 |  0.900  0.79 +0.346 |  1.139  0.78 +0.409 |   1.155  +0.398
   0.50-1.00   15-22     11/  56 |  1.203  0.97 +0.078      0.000 |  0.983  0.69 +0.277 |  1.200  0.71 +0.362 |   1.182  +0.355
   0.50-1.00   22-40     37/ 189 |  1.302  0.99 +0.088      0.000 |  1.273  0.89 +0.208 |  1.650  0.88 +0.299 |   1.657  +0.296
   1.00-2.00   0-8       5/  26 |  1.065  0.92 +0.172      0.000 |  0.731  0.79 +0.189 |  0.817  0.75 -0.172 |   0.779  +0.361
   1.00-2.00   8-15     10/  51 |  1.074  0.93 +0.176      0.000 |  0.778  0.25 +0.183 |  1.067  0.31 -0.042 |   0.836  +0.359
   1.00-2.00   15-22     11/  56 |  1.124  0.95 +0.165      0.000 |  1.535  0.35 +0.011 |  2.321  0.45 +0.145 |   1.725  +0.176
   1.00-2.00   22-40     37/ 189 |  1.109  0.95 +0.156      0.000 |  2.369  0.74 +0.020 |  3.158  0.80 +0.152 |   2.628  +0.175

0000003c--927965c2b4  V282old   V282old refFilt ABSENT LAF3.6  Kp0.8 fric0.03 SR12.5
   band        v m/s       n/sec | H_fork   coh  lag_f refFF pred |  H_dwn   coh  lag_d |  H_tot   coh  lag_t | H_f*H_d lag_f+d
   0.10-0.25   22-40      6/ 123 |  1.047  1.00 +0.011      0.000 |  1.313  0.96 +0.324 |  1.378  0.96 +0.336 |   1.375  +0.335
   0.25-0.50   22-40      6/ 123 |  1.147  1.00 +0.047      0.000 |  1.245  0.90 +0.270 |  1.427  0.90 +0.317 |   1.428  +0.317
   0.50-1.00   0-8       8/  41 |  1.256  0.97 +0.034      0.000 |  0.920  0.80 +0.254 |  1.192  0.79 +0.274 |   1.156  +0.288
   0.50-1.00   8-15     10/  51 |  1.223  0.99 +0.045      0.000 |  1.144  0.78 +0.269 |  1.382  0.75 +0.310 |   1.400  +0.314
   0.50-1.00   15-22     27/ 138 |  1.301  0.97 +0.059      0.000 |  1.177  0.74 +0.228 |  1.486  0.68 +0.282 |   1.531  +0.287
   0.50-1.00   22-40     26/ 133 |  1.268  0.98 +0.096      0.000 |  1.293  0.87 +0.223 |  1.625  0.84 +0.321 |   1.640  +0.319
   1.00-2.00   0-8       8/  41 |  1.276  0.95 +0.151      0.000 |  0.488  0.52 +0.081 |  0.668  0.49 +0.225 |   0.622  +0.232
   1.00-2.00   8-15     10/  51 |  1.090  0.94 +0.170      0.000 |  0.833  0.35 +0.076 |  1.099  0.42 +0.204 |   0.908  +0.246
   1.00-2.00   15-22     27/ 138 |  1.099  0.94 +0.159      0.000 |  1.723  0.46 +0.020 |  2.310  0.54 +0.155 |   1.894  +0.179
   1.00-2.00   22-40     26/ 133 |  1.162  0.96 +0.158      0.000 |  2.078  0.72 +0.011 |  2.816  0.73 +0.150 |   2.415  +0.169

0000006c--68c6e94b17  T64       T64   refFilt 0.06   LAF14  Kp1.0 fric0.00 Ki0.3 obs0.6 rlg0.001
   band        v m/s       n/sec | H_fork   coh  lag_f refFF pred |  H_dwn   coh  lag_d |  H_tot   coh  lag_t | H_f*H_d lag_f+d
