
##### V282old minus V282  (lags in s; gap [95% CI]; pred = transfer-function shaping gap)
vb    band      terc    sec V/T |                  x->sp    pred |                sp->act |              act->pose |                x->pose |         COMMON x->pose | ctlV/T
15-22 0.6-1.2   mid    227/114  |    +0.045[+0.04,+0.05] +0.049 |    +0.042[+0.01,+0.09] |    -0.004[-0.04,+0.02] |    +0.059[+0.01,+0.10] |    -0.039[-0.09,+0.01] | 0.301/0.299
15-22 0.6-1.2   hi     181/83   |    +0.036[+0.02,+0.05] +0.051 |    -0.010[-0.04,+0.07] |    +0.017[-0.01,+0.03] |    +0.038[+0.00,+0.13] |    -0.050[-0.08,+0.03] | 0.299/0.287
15-22 0.6-1.2   all    679/311  |    +0.037[+0.02,+0.05] +0.050 |    -0.003[-0.03,+0.07] |    +0.016[-0.01,+0.03] |    +0.039[+0.01,+0.12] |    -0.051[-0.08,+0.02] | 0.299/0.289
>22   0.6-1.2   lo     617/94   |    +0.044[+0.04,+0.05] +0.049 |    +0.081[+0.02,+0.16] |    +0.002[-0.06,+0.03] |    +0.047[-0.01,+0.14] |    -0.054[-0.12,+0.05] | 0.299/0.295
>22   0.6-1.2   mid    599/87   |    +0.048[+0.04,+0.05] +0.051 |    +0.043[+0.02,+0.10] |    -0.006[-0.04,+0.02] |    +0.052[+0.02,+0.12] |    -0.049[-0.08,+0.02] | 0.300/0.300
>22   0.6-1.2   hi     700/88   |    +0.050[+0.04,+0.05] +0.052 |    -0.018[-0.08,+0.05] |    -0.002[-0.03,+0.03] |    +0.018[-0.03,+0.07] |    -0.082[-0.13,-0.03] | 0.299/0.300
>22   0.6-1.2   all   1916/269  |    +0.049[+0.04,+0.05] +0.052 |    -0.006[-0.07,+0.06] |    -0.002[-0.03,+0.02] |    +0.024[-0.02,+0.07] |    -0.076[-0.12,-0.03] | 0.299/0.299

##### T64B minus V282  (lags in s; gap [95% CI]; pred = transfer-function shaping gap)
vb    band      terc    sec V/T |                  x->sp    pred |                sp->act |              act->pose |                x->pose |         COMMON x->pose | ctlV/T
2-8   0.05-0.15 all    107/32   |    +0.126[+0.07,+0.25] +0.117 |    -0.714[-3.72,-0.31] |    +0.020[-1.26,+0.13] |    -0.566[-5.37,-0.23] |    -0.665[-5.51,-0.30] | 0.286/0.254
8-15  0.05-0.15 lo      77/59   |    +0.102[+0.06,+0.12] +0.117 |    +0.036[-0.30,+0.25] |    -0.085[-0.22,+0.02] |    +0.057[-0.28,+0.32] |    -0.043[-0.38,+0.22] | 0.290/0.275
8-15  0.05-0.15 mid     97/43   |    +0.157[+0.07,+0.21] +0.117 |    -0.356[-0.82,-0.06] |    -0.081[-0.34,-0.04] |    -0.287[-0.97,+0.05] |    -0.410[-1.09,-0.08] | 0.304/0.314
8-15  0.05-0.15 hi      86/36   |    +0.118[+0.10,+0.15] +0.118 |    -0.263[-0.38,-0.05] |    -0.039[-0.08,+0.02] |    -0.184[-0.31,+0.04] |    -0.285[-0.41,-0.07] | 0.308/0.296
8-15  0.05-0.15 all    260/138  |    +0.119[+0.11,+0.15] +0.118 |    -0.269[-0.40,-0.04] |    -0.042[-0.08,+0.01] |    -0.193[-0.34,+0.04] |    -0.294[-0.44,-0.06] | 0.307/0.297
15-22 0.05-0.15 lo     171/23   |    +0.109[+0.10,+0.11] +0.117 |    -0.418[-0.59,-0.05] |    -0.095[-0.20,+0.20] |    -0.431[-0.63,+0.08] |    -0.496[-0.69,+0.01] | 0.286/0.274
15-22 0.05-0.15 mid    145/36   |    +0.111[+0.02,+0.13] +0.118 |    -0.357[-0.74,-0.12] |    +0.005[-0.09,+0.19] |    -0.240[-0.60,+0.03] |    -0.339[-0.67,-0.07] | 0.293/0.285
15-22 0.05-0.15 hi     182/58   |    +0.111[+0.10,+0.13] +0.118 |    -0.164[-0.31,-0.05] |    +0.015[-0.01,+0.09] |    -0.039[-0.17,+0.15] |    -0.137[-0.27,+0.05] | 0.305/0.294
15-22 0.05-0.15 all    497/117  |    +0.111[+0.10,+0.12] +0.118 |    -0.179[-0.34,-0.09] |    +0.013[-0.02,+0.06] |    -0.055[-0.21,+0.03] |    -0.153[-0.31,-0.07] | 0.303/0.293
>22   0.05-0.15 hi     643/53   |    +0.117[+0.12,+0.12] +0.118 |    -0.126[-0.20,-0.11] |    -0.004[-0.08,+0.03] |    -0.013[-0.13,+0.03] |    -0.113[-0.23,-0.07] | 0.300/0.300
>22   0.05-0.15 all   1777/75   |    +0.117[+0.12,+0.12] +0.118 |    -0.140[-0.24,-0.12] |    -0.007[-0.08,+0.03] |    -0.030[-0.18,+0.01] |    -0.130[-0.28,-0.09] | 0.300/0.301
2-8   0.15-0.3  mid     46/22   |    +0.114[+0.10,+0.13] +0.110 |    +0.196[+0.07,+0.34] |    -0.009[-0.04,+0.05] |    +0.287[+0.13,+0.49] |    +0.191[+0.04,+0.39] | 0.293/0.300
2-8   0.15-0.3  hi      27/37   |    +0.118[+0.07,+0.13] +0.109 |    -0.196[-0.27,-0.09] |    -0.007[-0.04,+0.01] |    -0.087[-0.25,+0.02] |    -0.181[-0.34,-0.07] | 0.308/0.292
2-8   0.15-0.3  all    242/73   |    +0.117[+0.07,+0.13] +0.109 |    -0.187[-0.27,-0.08] |    -0.007[-0.04,+0.01] |    -0.081[-0.23,+0.02] |    -0.175[-0.33,-0.07] | 0.306/0.292
8-15  0.15-0.3  lo     360/61   |    +0.104[+0.09,+0.12] +0.109 |    +0.187[-0.08,+0.35] |    -0.019[-0.06,+0.02] |    +0.235[-0.05,+0.43] |    +0.155[-0.12,+0.34] | 0.295/0.281
8-15  0.15-0.3  mid    147/115  |    +0.113[+0.11,+0.12] +0.109 |    +0.229[+0.13,+0.32] |    -0.013[-0.03,+0.01] |    +0.324[+0.22,+0.42] |    +0.223[+0.12,+0.32] | 0.293/0.300
8-15  0.15-0.3  hi      85/80   |    +0.110[+0.10,+0.12] +0.110 |    -0.008[-0.10,+0.11] |    -0.002[-0.01,+0.02] |    +0.096[+0.01,+0.22] |    -0.001[-0.08,+0.12] | 0.296/0.294
8-15  0.15-0.3  all    592/256  |    +0.110[+0.10,+0.12] +0.110 |    +0.022[-0.06,+0.13] |    -0.004[-0.01,+0.01] |    +0.122[+0.04,+0.24] |    +0.025[-0.05,+0.14] | 0.296/0.294
15-22 0.15-0.3  mid    175/58   |    +0.112[+0.11,+0.12] +0.111 |    +0.290[+0.18,+0.36] |    -0.024[-0.06,+0.00] |    +0.380[+0.24,+0.47] |    +0.277[+0.14,+0.36] | 0.300/0.302
15-22 0.15-0.3  hi      95/67   |    +0.110[+0.11,+0.12] +0.110 |    +0.047[-0.06,+0.16] |    +0.013[-0.02,+0.04] |    +0.171[+0.07,+0.28] |    +0.071[-0.03,+0.17] | 0.297/0.299
15-22 0.15-0.3  all    636/145  |    +0.110[+0.11,+0.12] +0.110 |    +0.071[-0.04,+0.19] |    +0.003[-0.03,+0.02] |    +0.181[+0.06,+0.31] |    +0.081[-0.04,+0.21] | 0.298/0.299
>22   0.15-0.3  lo     924/25   |    +0.116[+0.11,+0.13] +0.110 |    +0.088[+0.03,+0.16] |    -0.134[-0.18,-0.03] |    +0.011[-0.05,+0.20] |    -0.098[-0.16,+0.07] | 0.299/0.306
>22   0.15-0.3  mid    636/29   |    +0.111[+0.10,+0.11] +0.112 |    +0.097[-0.05,+0.17] |    -0.031[-0.09,+0.03] |    +0.183[-0.06,+0.29] |    +0.079[-0.16,+0.19] | 0.300/0.299
>22   0.15-0.3  hi     317/35   |    +0.111[+0.11,+0.12] +0.110 |    +0.089[-0.00,+0.15] |    -0.012[-0.07,+0.04] |    +0.192[+0.05,+0.31] |    +0.090[-0.05,+0.21] | 0.300/0.302
>22   0.15-0.3  all   1877/90   |    +0.111[+0.11,+0.12] +0.110 |    +0.081[-0.02,+0.14] |    -0.024[-0.08,+0.02] |    +0.168[+0.01,+0.28] |    +0.066[-0.09,+0.18] | 0.300/0.302
2-8   0.3-0.6   mid     80/30   |    +0.086[+0.07,+0.10] +0.087 |    +0.060[-0.13,+0.19] |    +0.005[-0.03,+0.03] |    +0.150[-0.10,+0.30] |    +0.034[-0.21,+0.18] | 0.297/0.306
2-8   0.3-0.6   hi      38/51   |    +0.108[+0.08,+0.13] +0.089 |    -0.154[-0.26,-0.05] |    +0.025[+0.01,+0.04] |    -0.003[-0.11,+0.09] |    -0.108[-0.21,-0.02] | 0.285/0.300
2-8   0.3-0.6   all    337/100  |    +0.105[+0.08,+0.12] +0.089 |    -0.144[-0.23,-0.06] |    +0.024[+0.01,+0.04] |    +0.001[-0.09,+0.08] |    -0.103[-0.19,-0.02] | 0.286/0.300
8-15  0.3-0.6   lo     326/95   |    +0.087[+0.08,+0.09] +0.089 |    +0.164[+0.05,+0.23] |    +0.000[-0.05,+0.03] |    +0.231[+0.09,+0.32] |    +0.136[-0.00,+0.22] | 0.296/0.294
8-15  0.3-0.6   mid    210/99   |    +0.092[+0.09,+0.10] +0.089 |    +0.086[+0.03,+0.15] |    -0.018[-0.05,+0.03] |    +0.160[+0.09,+0.25] |    +0.057[-0.01,+0.15] | 0.295/0.298
8-15  0.3-0.6   hi     147/85   |    +0.091[+0.08,+0.11] +0.089 |    -0.040[-0.15,+0.09] |    +0.019[+0.00,+0.04] |    +0.078[-0.02,+0.22] |    -0.027[-0.13,+0.11] | 0.295/0.298
8-15  0.3-0.6   all    684/280  |    +0.091[+0.08,+0.11] +0.089 |    -0.030[-0.13,+0.09] |    +0.014[+0.00,+0.03] |    +0.082[-0.03,+0.21] |    -0.022[-0.13,+0.10] | 0.295/0.298
15-22 0.3-0.6   lo     391/39   |    +0.085[+0.08,+0.09] +0.090 |    +0.106[-0.10,+0.21] |    -0.011[-0.10,+0.06] |    +0.100[-0.08,+0.19] |    -0.011[-0.19,+0.09] | 0.300/0.294
15-22 0.3-0.6   mid    192/48   |    +0.090[+0.09,+0.09] +0.091 |    +0.131[-0.02,+0.21] |    -0.020[-0.04,+0.01] |    +0.192[+0.01,+0.28] |    +0.090[-0.09,+0.18] | 0.299/0.300
15-22 0.3-0.6   hi      82/64   |    +0.087[+0.08,+0.09] +0.091 |    +0.053[-0.01,+0.14] |    +0.004[-0.02,+0.02] |    +0.138[+0.06,+0.24] |    +0.040[-0.04,+0.14] | 0.300/0.299
15-22 0.3-0.6   all    665/151  |    +0.088[+0.08,+0.09] +0.091 |    +0.054[-0.01,+0.15] |    -0.001[-0.03,+0.01] |    +0.125[+0.04,+0.24] |    +0.026[-0.06,+0.13] | 0.300/0.299
>22   0.3-0.6   lo    1061/21   |    +0.083[+0.07,+0.09] +0.087 |    +0.003[-0.36,+0.15] |    -0.070[-0.11,-0.03] |    -0.019[-0.38,+0.13] |    -0.132[-0.45,+0.02] | 0.299/0.293
>22   0.3-0.6   mid    576/38   |    +0.086[+0.08,+0.09] +0.087 |    +0.176[+0.00,+0.24] |    -0.057[-0.10,+0.01] |    +0.194[+0.03,+0.26] |    +0.091[-0.07,+0.16] | 0.300/0.301
>22   0.3-0.6   hi     265/35   |    +0.087[+0.08,+0.09] +0.089 |    +0.177[+0.11,+0.20] |    -0.064[-0.09,-0.01] |    +0.188[+0.15,+0.24] |    +0.088[+0.05,+0.14] | 0.299/0.299
>22   0.3-0.6   all   1903/93   |    +0.086[+0.08,+0.09] +0.089 |    +0.165[+0.08,+0.21] |    -0.064[-0.09,-0.01] |    +0.168[+0.12,+0.23] |    +0.066[+0.02,+0.13] | 0.299/0.299
2-8   0.6-1.2   lo     194/30   |    +0.044[+0.03,+0.05] +0.049 |    +0.015[-0.11,+0.11] |    +0.036[-0.03,+0.16] |    +0.023[-0.09,+0.14] |    -0.068[-0.16,+0.02] | 0.301/0.297
2-8   0.6-1.2   mid    143/36   |    +0.051[+0.04,+0.06] +0.050 |    +0.010[-0.08,+0.05] |    -0.017[-0.05,+0.02] |    +0.043[-0.01,+0.07] |    -0.063[-0.13,-0.03] | 0.300/0.303
2-8   0.6-1.2   hi      54/50   |    +0.051[+0.03,+0.07] +0.061 |    -0.011[-0.09,+0.05] |    -0.001[-0.03,+0.02] |    +0.027[-0.07,+0.12] |    -0.069[-0.16,+0.01] | 0.297/0.295
2-8   0.6-1.2   all    391/116  |    +0.049[+0.03,+0.06] +0.058 |    -0.014[-0.08,+0.04] |    -0.002[-0.03,+0.02] |    +0.018[-0.07,+0.09] |    -0.078[-0.16,-0.01] | 0.298/0.296
8-15  0.6-1.2   lo     257/91   |    +0.045[+0.04,+0.05] +0.053 |    +0.035[+0.01,+0.06] |    -0.005[-0.03,+0.04] |    +0.001[-0.04,+0.05] |    -0.093[-0.13,-0.04] | 0.299/0.294
8-15  0.6-1.2   mid    252/81   |    +0.050[+0.04,+0.06] +0.054 |    -0.003[-0.04,+0.03] |    -0.012[-0.04,+0.04] |    +0.035[+0.00,+0.09] |    -0.069[-0.11,-0.01] | 0.301/0.300
8-15  0.6-1.2   hi     211/116  |    +0.059[+0.05,+0.08] +0.058 |    -0.132[-0.16,-0.05] |    -0.002[-0.02,+0.01] |    -0.079[-0.11,-0.01] |    -0.181[-0.22,-0.11] | 0.297/0.299
8-15  0.6-1.2   all    721/289  |    +0.057[+0.05,+0.07] +0.057 |    -0.127[-0.16,-0.05] |    +0.001[-0.01,+0.01] |    -0.076[-0.11,-0.01] |    -0.178[-0.21,-0.11] | 0.298/0.299
15-22 0.6-1.2   lo     271/34   |    +0.043[+0.04,+0.05] +0.049 |    +0.015[-0.01,+0.10] |    +0.075[+0.03,+0.12] |    +0.025[-0.01,+0.09] |    -0.059[-0.10,+0.02] | 0.299/0.295
15-22 0.6-1.2   mid    227/42   |    +0.047[+0.04,+0.05] +0.052 |    +0.013[-0.06,+0.22] |    +0.011[-0.03,+0.04] |    -0.004[-0.12,+0.17] |    -0.091[-0.20,+0.12] | 0.301/0.299
15-22 0.6-1.2   hi     181/79   |    +0.050[+0.04,+0.05] +0.056 |    -0.088[-0.11,-0.05] |    +0.019[-0.01,+0.03] |    -0.029[-0.07,+0.00] |    -0.129[-0.16,-0.10] | 0.299/0.298
15-22 0.6-1.2   all    679/155  |    +0.049[+0.04,+0.05] +0.055 |    -0.085[-0.10,+0.01] |    +0.023[-0.00,+0.03] |    -0.033[-0.07,+0.00] |    -0.132[-0.16,-0.10] | 0.299/0.298
>22   0.6-1.2   lo     617/36   |    +0.050[+0.05,+0.06] +0.055 |    -0.007[-0.06,+0.05] |    +0.022[-0.07,+0.06] |    -0.051[-0.12,-0.01] |    -0.143[-0.22,-0.09] | 0.299/0.298
>22   0.6-1.2   mid    599/27   |    +0.052[+0.05,+0.06] +0.055 |    -0.030[-0.09,+0.03] |    +0.029[-0.03,+0.05] |    +0.006[-0.04,+0.05] |    -0.095[-0.14,-0.04] | 0.300/0.300
>22   0.6-1.2   hi     700/32   |    +0.050[+0.04,+0.05] +0.054 |    -0.043[-0.07,-0.00] |    -0.000[-0.03,+0.04] |    -0.007[-0.04,+0.07] |    -0.108[-0.14,-0.03] | 0.299/0.298
>22   0.6-1.2   all   1916/95   |    +0.050[+0.05,+0.05] +0.054 |    -0.039[-0.07,+0.01] |    +0.006[-0.02,+0.04] |    -0.006[-0.05,+0.06] |    -0.107[-0.15,-0.04] | 0.299/0.299

##### T5 minus V282  (lags in s; gap [95% CI]; pred = transfer-function shaping gap)
vb    band      terc    sec V/T |                  x->sp    pred |                sp->act |              act->pose |                x->pose |         COMMON x->pose | ctlV/T
15-22 0.05-0.15 lo     171/32   |    +0.262[+0.25,+0.57] +0.244 |    +0.113[-0.02,+0.21] |    -0.120[-0.50,+0.01] |    +0.223[+0.00,+0.39] |    +0.126[-0.20,+0.29] | 0.286/0.315
15-22 0.05-0.15 mid    145/28   |    +0.236[+0.22,+0.28] +0.242 |    -0.276[-0.96,+0.04] |    -0.071[-0.20,+0.03] |    -0.136[-0.92,+0.22] |    -0.220[-1.01,+0.13] | 0.293/0.290
15-22 0.05-0.15 hi     182/22   |    +0.239[+0.23,+0.26] +0.242 |    +0.001[-0.13,+0.13] |    -0.049[-0.10,+0.04] |    +0.199[+0.07,+0.41] |    +0.108[-0.02,+0.31] | 0.305/0.299
15-22 0.05-0.15 all    497/82   |    +0.239[+0.23,+0.26] +0.242 |    -0.018[-0.21,+0.13] |    -0.052[-0.11,+0.02] |    +0.171[-0.05,+0.35] |    +0.081[-0.14,+0.26] | 0.303/0.298
>22   0.05-0.15 lo     519/38   |    +0.265[+0.24,+0.32] +0.243 |    +0.078[-0.27,+0.87] |    -0.080[-0.19,+0.03] |    +0.243[-0.14,+1.00] |    +0.147[-0.22,+0.87] | 0.292/0.320
>22   0.05-0.15 mid    614/24   |    +0.251[+0.21,+0.26] +0.241 |    -0.097[-0.72,+0.09] |    -0.056[-0.14,-0.01] |    +0.088[-0.62,+0.35] |    -0.004[-0.70,+0.25] | 0.300/0.301
>22   0.05-0.15 all   1777/63   |    +0.249[+0.22,+0.30] +0.241 |    -0.012[-0.36,+0.91] |    -0.016[-0.09,+0.01] |    +0.221[-0.19,+1.22] |    +0.130[-0.28,+1.09] | 0.300/0.305
2-8   0.15-0.3  all    242/23   |    +0.274[+0.21,+0.29] +0.247 |    -0.055[-0.18,+0.13] |    -0.007[-0.04,+0.02] |    +0.231[+0.07,+0.43] |    +0.123[-0.04,+0.33] | 0.306/0.309
8-15  0.15-0.3  hi      85/49   |    +0.256[+0.23,+0.27] +0.245 |    -0.026[-0.12,+0.15] |    +0.011[-0.01,+0.03] |    +0.238[+0.16,+0.41] |    +0.145[+0.06,+0.31] | 0.296/0.304
8-15  0.15-0.3  all    592/59   |    +0.255[+0.24,+0.27] +0.245 |    -0.022[-0.10,+0.13] |    +0.008[-0.01,+0.03] |    +0.236[+0.17,+0.38] |    +0.143[+0.08,+0.29] | 0.296/0.305
15-22 0.15-0.3  mid    175/41   |    +0.253[+0.25,+0.29] +0.247 |    +0.273[+0.12,+0.30] |    -0.040[-0.07,-0.01] |    +0.478[+0.30,+0.52] |    +0.387[+0.20,+0.43] | 0.300/0.305
15-22 0.15-0.3  hi      95/71   |    +0.255[+0.25,+0.26] +0.249 |    +0.185[+0.09,+0.29] |    +0.001[-0.04,+0.02] |    +0.436[+0.34,+0.54] |    +0.346[+0.25,+0.45] | 0.297/0.302
15-22 0.15-0.3  all    636/119  |    +0.255[+0.25,+0.26] +0.249 |    +0.182[+0.08,+0.27] |    -0.010[-0.04,+0.01] |    +0.417[+0.31,+0.50] |    +0.328[+0.22,+0.41] | 0.298/0.302
>22   0.15-0.3  mid    636/26   |    +0.258[+0.24,+0.27] +0.250 |    +0.344[+0.30,+0.36] |    -0.052[-0.09,+0.04] |    +0.568[+0.50,+0.62] |    +0.471[+0.40,+0.53] | 0.300/0.308
>22   0.15-0.3  hi     317/94   |    +0.251[+0.25,+0.26] +0.251 |    +0.230[+0.17,+0.28] |    -0.010[-0.05,+0.02] |    +0.469[+0.39,+0.54] |    +0.379[+0.30,+0.45] | 0.300/0.301
>22   0.15-0.3  all   1877/125  |    +0.252[+0.25,+0.26] +0.251 |    +0.219[+0.15,+0.27] |    -0.024[-0.05,+0.01] |    +0.440[+0.36,+0.52] |    +0.350[+0.27,+0.42] | 0.300/0.301
2-8   0.3-0.6   all    337/34   |    +0.252[+0.19,+0.31] +0.250 |    -0.238[-0.33,-0.01] |    +0.009[-0.02,+0.03] |    +0.041[-0.11,+0.32] |    -0.043[-0.17,+0.21] | 0.286/0.289
8-15  0.3-0.6   hi     147/40   |    +0.215[+0.16,+0.26] +0.245 |    +0.024[-0.04,+0.06] |    +0.001[-0.02,+0.02] |    +0.247[+0.14,+0.32] |    +0.164[+0.07,+0.23] | 0.295/0.283
8-15  0.3-0.6   all    684/72   |    +0.217[+0.16,+0.26] +0.245 |    +0.013[-0.05,+0.05] |    -0.001[-0.02,+0.02] |    +0.237[+0.13,+0.30] |    +0.152[+0.06,+0.21] | 0.295/0.284
15-22 0.3-0.6   mid    192/56   |    +0.240[+0.23,+0.25] +0.245 |    +0.021[-0.10,+0.09] |    -0.022[-0.06,+0.01] |    +0.209[+0.06,+0.31] |    +0.125[-0.03,+0.22] | 0.299/0.299
15-22 0.3-0.6   hi      82/56   |    +0.240[+0.23,+0.25] +0.245 |    +0.128[+0.05,+0.17] |    -0.003[-0.03,+0.01] |    +0.362[+0.27,+0.41] |    +0.273[+0.18,+0.32] | 0.300/0.299
15-22 0.3-0.6   all    665/131  |    +0.241[+0.23,+0.24] +0.245 |    +0.105[+0.04,+0.14] |    -0.006[-0.03,+0.01] |    +0.321[+0.23,+0.37] |    +0.232[+0.14,+0.28] | 0.300/0.299
>22   0.3-0.6   lo    1061/34   |    +0.218[+0.18,+0.24] +0.240 |    +0.063[-0.15,+0.13] |    -0.113[-0.15,-0.06] |    +0.156[-0.13,+0.26] |    +0.057[-0.22,+0.15] | 0.299/0.286
>22   0.3-0.6   mid    576/46   |    +0.231[+0.20,+0.24] +0.238 |    +0.141[+0.03,+0.21] |    -0.104[-0.13,-0.04] |    +0.276[+0.18,+0.35] |    +0.183[+0.09,+0.26] | 0.300/0.292
>22   0.3-0.6   hi     265/61   |    +0.237[+0.23,+0.24] +0.243 |    +0.095[+0.03,+0.16] |    -0.069[-0.09,-0.02] |    +0.267[+0.20,+0.35] |    +0.175[+0.11,+0.25] | 0.299/0.294
>22   0.3-0.6   all   1903/142  |    +0.236[+0.23,+0.24] +0.242 |    +0.089[+0.02,+0.15] |    -0.081[-0.10,-0.03] |    +0.240[+0.17,+0.32] |    +0.147[+0.08,+0.23] | 0.299/0.294
2-8   0.6-1.2   all    391/41   |    +0.221[+0.17,+0.25] +0.248 |    -0.086[-0.21,-0.00] |    +0.013[-0.04,+0.04] |    +0.132[-0.24,+0.26] |    +0.029[-0.18,+0.17] | 0.298/0.301
8-15  0.6-1.2   lo     257/21   |    +0.230[+0.21,+0.26] +0.238 |    -0.084[-0.46,+0.27] |    +0.060[+0.02,+0.10] |    -0.040[-0.46,+0.09] |    -0.159[-0.57,+0.01] | 0.299/0.297
8-15  0.6-1.2   mid    252/24   |    +0.222[+0.21,+0.24] +0.239 |    -0.143[-0.30,-0.03] |    +0.006[-0.02,+0.05] |    +0.030[-0.15,+0.13] |    -0.067[-0.25,+0.04] | 0.301/0.299
8-15  0.6-1.2   hi     211/34   |    +0.187[+0.16,+0.24] +0.240 |    -0.152[-0.21,-0.05] |    -0.020[-0.04,-0.01] |    -0.007[-0.09,+0.12] |    -0.077[-0.14,+0.04] | 0.297/0.287
8-15  0.6-1.2   all    721/79   |    +0.189[+0.16,+0.23] +0.239 |    -0.150[-0.20,-0.06] |    -0.012[-0.02,-0.00] |    -0.007[-0.09,+0.10] |    -0.079[-0.15,+0.02] | 0.298/0.288
15-22 0.6-1.2   lo     271/41   |    +0.230[+0.22,+0.24] +0.233 |    +0.006[-0.13,+0.23] |    +0.031[-0.01,+0.10] |    +0.040[-0.07,+0.20] |    -0.059[-0.24,+0.15] | 0.299/0.300
15-22 0.6-1.2   mid    227/54   |    +0.213[+0.21,+0.22] +0.239 |    -0.097[-0.16,+0.01] |    -0.001[-0.04,+0.03] |    +0.037[-0.02,+0.11] |    -0.053[-0.11,+0.02] | 0.301/0.296
15-22 0.6-1.2   hi     181/40   |    +0.218[+0.20,+0.23] +0.241 |    -0.040[-0.17,+0.04] |    -0.005[-0.03,+0.03] |    +0.108[-0.03,+0.16] |    +0.021[-0.11,+0.08] | 0.299/0.298
15-22 0.6-1.2   all    679/136  |    +0.218[+0.21,+0.22] +0.240 |    -0.051[-0.14,+0.06] |    -0.002[-0.03,+0.03] |    +0.086[-0.00,+0.14] |    -0.001[-0.09,+0.05] | 0.299/0.297
>22   0.6-1.2   lo     617/53   |    +0.226[+0.21,+0.24] +0.242 |    -0.015[-0.14,+0.13] |    +0.038[-0.02,+0.07] |    +0.018[-0.05,+0.06] |    -0.082[-0.14,-0.04] | 0.299/0.297
>22   0.6-1.2   mid    599/56   |    +0.225[+0.22,+0.24] +0.242 |    -0.106[-0.13,-0.09] |    -0.021[-0.06,+0.01] |    +0.033[+0.00,+0.08] |    -0.060[-0.09,-0.02] | 0.300/0.299
>22   0.6-1.2   hi     700/41   |    +0.204[+0.18,+0.23] +0.239 |    -0.124[-0.20,-0.07] |    -0.001[-0.02,+0.02] |    +0.055[+0.00,+0.09] |    -0.022[-0.09,+0.04] | 0.299/0.283
>22   0.6-1.2   all   1916/150  |    +0.210[+0.18,+0.23] +0.240 |    -0.116[-0.17,-0.08] |    -0.003[-0.02,+0.02] |    +0.049[+0.01,+0.08] |    -0.032[-0.08,+0.02] | 0.299/0.287

##### T4 minus V282  (lags in s; gap [95% CI]; pred = transfer-function shaping gap)
vb    band      terc    sec V/T |                  x->sp    pred |                sp->act |              act->pose |                x->pose |         COMMON x->pose | ctlV/T
2-8   0.05-0.15 all    107/64   |    +0.241[+0.23,+0.32] +0.241 |    -0.238[-2.99,+0.19] |    +0.047[-1.22,+0.06] |    +0.051[-4.56,+0.43] |    -0.032[-4.65,+0.35] | 0.286/0.305
8-15  0.05-0.15 lo      77/35   |    +0.254[+0.22,+0.33] +0.240 |    -0.208[-0.57,+0.45] |    -0.042[-0.24,+0.10] |    +0.011[-0.38,+0.80] |    -0.071[-0.46,+0.69] | 0.290/0.307
8-15  0.05-0.15 mid     97/79   |    +0.255[+0.24,+0.27] +0.241 |    -0.047[-0.45,+0.20] |    -0.052[-0.32,-0.01] |    +0.126[-0.49,+0.40] |    +0.044[-0.57,+0.32] | 0.304/0.312
8-15  0.05-0.15 hi      86/80   |    +0.242[+0.21,+0.25] +0.241 |    -0.210[-0.29,-0.03] |    -0.026[-0.07,+0.01] |    +0.005[-0.09,+0.17] |    -0.075[-0.17,+0.09] | 0.308/0.299
8-15  0.05-0.15 all    260/194  |    +0.242[+0.22,+0.25] +0.241 |    -0.217[-0.31,+0.01] |    -0.028[-0.07,-0.00] |    -0.006[-0.13,+0.20] |    -0.086[-0.21,+0.13] | 0.307/0.300
15-22 0.05-0.15 mid    145/36   |    +0.241[+0.19,+0.29] +0.241 |    -0.335[-0.59,+0.08] |    -0.051[-0.15,+0.03] |    -0.151[-0.38,+0.31] |    -0.233[-0.46,+0.21] | 0.293/0.297
15-22 0.05-0.15 hi     182/48   |    +0.230[+0.21,+0.25] +0.241 |    -0.117[-0.24,-0.01] |    -0.008[-0.04,+0.06] |    +0.100[-0.02,+0.27] |    +0.022[-0.10,+0.19] | 0.305/0.295
15-22 0.05-0.15 all    497/96   |    +0.231[+0.21,+0.25] +0.241 |    -0.130[-0.28,-0.08] |    -0.011[-0.05,+0.04] |    +0.085[-0.06,+0.13] |    +0.007[-0.14,+0.05] | 0.303/0.295
>22   0.05-0.15 hi     643/44   |    +0.240[+0.24,+0.24] +0.240 |    -0.070[-0.15,-0.04] |    -0.017[-0.11,+0.03] |    +0.151[+0.01,+0.22] |    +0.072[-0.07,+0.15] | 0.300/0.300
>22   0.05-0.15 all   1777/70   |    +0.240[+0.24,+0.24] +0.240 |    -0.071[-0.18,-0.04] |    -0.020[-0.10,+0.02] |    +0.144[-0.01,+0.21] |    +0.065[-0.09,+0.13] | 0.300/0.299
2-8   0.15-0.3  lo     169/25   |    +0.246[+0.23,+0.27] +0.248 |    -0.041[-0.26,+0.31] |    -0.014[-0.14,+0.06] |    +0.184[-0.08,+0.51] |    +0.107[-0.15,+0.43] | 0.293/0.294
2-8   0.15-0.3  mid     46/37   |    +0.248[+0.23,+0.27] +0.244 |    +0.149[-0.04,+0.33] |    -0.011[-0.04,+0.04] |    +0.384[+0.18,+0.58] |    +0.302[+0.10,+0.50] | 0.293/0.302
