# EVENTS (matched high-desired-jerk, s2 matcher): median paired gap vs V282, s  [route-2-sided 95% CI]
group    speed   pairs |              shaping |        loop+plant+RT |              vehicle |         TOTAL logged |   lead |         TOTAL common
T64   8-15  0.15-0.3 mid   |  +0.117[+0.11,+0.13](+0.110) |  +0.250[+0.18,+0.33] |  +0.012[-0.01,+0.04] |  +0.377[+0.30,+0.47] |  +0.274[+0.19,+0.36]
T64   8-15  0.15-0.3 hi    |  +0.115[+0.10,+0.13](+0.110) |  -0.029[-0.12,+0.09] |  +0.014[-0.00,+0.04] |  +0.100[+0.01,+0.23] |  -0.001[-0.09,+0.12]
T64   8-15  0.15-0.3 all   |  +0.115[+0.10,+0.13](+0.110) |  +0.037[-0.04,+0.16] |  +0.014[+0.00,+0.04] |  +0.162[+0.08,+0.30] |  +0.061[-0.02,+0.20]
T64   15-22 0.15-0.3 lo    |  +0.121[+0.11,+0.14](+0.112) |  +0.249[+0.15,+0.37] |  -0.028[-0.06,+0.01] |  +0.313[+0.21,+0.46] |  +0.201[+0.09,+0.35]
T64   15-22 0.15-0.3 mid   |  +0.110[+0.11,+0.11](+0.111) |  +0.236[+0.16,+0.31] |  -0.014[-0.07,+0.02] |  +0.333[+0.24,+0.41] |  +0.231[+0.14,+0.30]
T64   15-22 0.15-0.3 hi    |  +0.111[+0.11,+0.12](+0.110) |  +0.005[-0.09,+0.16] |  +0.005[-0.03,+0.05] |  +0.117[+0.02,+0.27] |  +0.016[-0.08,+0.17]
T64   15-22 0.15-0.3 all   |  +0.113[+0.11,+0.12](+0.111) |  +0.161[+0.07,+0.31] |  -0.001[-0.04,+0.02] |  +0.272[+0.16,+0.42] |  +0.169[+0.06,+0.31]
T64   >22   0.15-0.3 lo    |  +0.112[+0.11,+0.12](+0.111) |  +0.115[+0.05,+0.15] |  -0.078[-0.13,+0.04] |  +0.135[+0.02,+0.29] |  +0.026[-0.09,+0.17]
T64   >22   0.15-0.3 mid   |  +0.111[+0.11,+0.11](+0.111) |  +0.104[-0.01,+0.18] |  -0.032[-0.07,+0.04] |  +0.179[+0.03,+0.31] |  +0.077[-0.07,+0.21]
T64   >22   0.15-0.3 hi    |  +0.108[+0.11,+0.11](+0.110) |  +0.013[-0.05,+0.07] |  -0.025[-0.07,+0.01] |  +0.094[+0.03,+0.15] |  -0.005[-0.07,+0.05]
T64   >22   0.15-0.3 all   |  +0.109[+0.11,+0.11](+0.110) |  +0.058[-0.00,+0.14] |  -0.025[-0.06,+0.02] |  +0.136[+0.06,+0.24] |  +0.036[-0.04,+0.14]
T64   8-15  0.3-0.6  lo    |  +0.081[+0.07,+0.09](+0.088) |  +0.126[-0.07,+0.31] |  +0.016[-0.04,+0.05] |  +0.348[+0.19,+0.61] |  +0.104[-0.13,+0.32]
T64   8-15  0.3-0.6  mid   |  +0.084[+0.07,+0.09](+0.087) |  +0.160[+0.09,+0.24] |  -0.007[-0.04,+0.04] |  +0.248[+0.18,+0.35] |  +0.136[+0.06,+0.25]
