# EVENTS (matched high-desired-jerk, s2 matcher): median paired gap vs V282, s  [route-2-sided 95% CI]
group    speed   pairs |              shaping |        loop+plant+RT |              vehicle |         TOTAL logged |   lead |         TOTAL common
T5    15-22 0.6-1.2  all   |  +0.218[+0.21,+0.22](+0.240) |  -0.051[-0.14,+0.06] |  -0.002[-0.03,+0.03] |  +0.086[-0.00,+0.14] |  -0.001[-0.09,+0.05]
T5    >22   0.6-1.2  lo    |  +0.226[+0.21,+0.24](+0.242) |  -0.015[-0.14,+0.13] |  +0.038[-0.02,+0.07] |  +0.018[-0.05,+0.06] |  -0.082[-0.14,-0.04]
T5    >22   0.6-1.2  mid   |  +0.225[+0.22,+0.24](+0.242) |  -0.106[-0.13,-0.09] |  -0.021[-0.06,+0.01] |  +0.033[+0.00,+0.08] |  -0.060[-0.09,-0.02]
T5    >22   0.6-1.2  hi    |  +0.204[+0.18,+0.23](+0.239) |  -0.124[-0.20,-0.07] |  -0.001[-0.02,+0.02] |  +0.055[+0.00,+0.09] |  -0.022[-0.09,+0.04]
T5    >22   0.6-1.2  all   |  +0.210[+0.18,+0.23](+0.240) |  -0.116[-0.17,-0.08] |  -0.003[-0.02,+0.02] |  +0.049[+0.01,+0.08] |  -0.032[-0.08,+0.02]
T4    8-15  0.15-0.3 lo    |  +0.257[+0.24,+0.28](+0.243) |  +0.238[+0.14,+0.34] |  +0.005[-0.03,+0.05] |  +0.528[+0.44,+0.66] |  +0.435[+0.34,+0.56]
T4    8-15  0.15-0.3 mid   |  +0.259[+0.25,+0.27](+0.245) |  +0.129[+0.05,+0.21] |  -0.015[-0.03,+0.01] |  +0.377[+0.29,+0.46] |  +0.292[+0.20,+0.38]
T4    8-15  0.15-0.3 hi    |  +0.251[+0.24,+0.26](+0.244) |  -0.125[-0.22,-0.01] |  +0.009[-0.00,+0.03] |  +0.136[+0.04,+0.26] |  +0.055[-0.04,+0.17]
T4    8-15  0.15-0.3 all   |  +0.251[+0.24,+0.26](+0.244) |  -0.105[-0.18,-0.00] |  +0.006[-0.01,+0.02] |  +0.152[+0.07,+0.26] |  +0.071[-0.01,+0.18]
T4    15-22 0.15-0.3 mid   |  +0.248[+0.24,+0.27](+0.244) |  +0.212[+0.11,+0.31] |  -0.033[-0.07,-0.00] |  +0.443[+0.33,+0.56] |  +0.357[+0.24,+0.47]
T4    15-22 0.15-0.3 hi    |  +0.254[+0.25,+0.27](+0.247) |  +0.055[-0.04,+0.15] |  +0.006[-0.03,+0.03] |  +0.323[+0.23,+0.41] |  +0.239[+0.14,+0.32]
T4    15-22 0.15-0.3 all   |  +0.254[+0.25,+0.27](+0.247) |  +0.055[-0.03,+0.14] |  -0.004[-0.04,+0.02] |  +0.309[+0.22,+0.40] |  +0.225[+0.13,+0.32]
T4    >22   0.15-0.3 mid   |  +0.248[+0.18,+0.25](+0.247) |  +0.218[-0.07,+0.28] |  -0.053[-0.19,+0.00] |  +0.408[-0.10,+0.46] |  +0.328[-0.17,+0.38]
T4    >22   0.15-0.3 hi    |  +0.247[+0.24,+0.25](+0.248) |  +0.214[+0.18,+0.23] |  +0.002[-0.06,+0.04] |  +0.462[+0.35,+0.51] |  +0.382[+0.27,+0.43]
T4    >22   0.15-0.3 all   |  +0.247[+0.23,+0.25](+0.248) |  +0.209[+0.03,+0.23] |  -0.017[-0.08,+0.03] |  +0.433[+0.14,+0.47] |  +0.353[+0.07,+0.39]
T4    8-15  0.3-0.6  lo    |  +0.242[+0.22,+0.25](+0.248) |  +0.003[-0.11,+0.09] |  +0.003[-0.05,+0.03] |  +0.294[+0.18,+0.37] |  +0.199[+0.08,+0.28]
T4    8-15  0.3-0.6  mid   |  +0.244[+0.24,+0.25](+0.246) |  -0.032[-0.09,+0.03] |  -0.025[-0.06,+0.02] |  +0.212[+0.14,+0.32] |  +0.129[+0.06,+0.23]
T4    8-15  0.3-0.6  hi    |  +0.250[+0.24,+0.27](+0.244) |  -0.120[-0.17,-0.06] |  +0.015[-0.00,+0.03] |  +0.162[+0.12,+0.22] |  +0.079[+0.04,+0.13]
T4    8-15  0.3-0.6  all   |  +0.250[+0.24,+0.26](+0.244) |  -0.116[-0.16,-0.06] |  +0.012[-0.00,+0.03] |  +0.160[+0.13,+0.21] |  +0.077[+0.04,+0.13]
T4    15-22 0.3-0.6  lo    |  +0.242[+0.22,+0.27](+0.251) |  +0.025[-0.07,+0.08] |  -0.016[-0.12,+0.02] |  +0.252[+0.05,+0.30] |  +0.154[-0.04,+0.20]
T4    15-22 0.3-0.6  mid   |  +0.233[+0.20,+0.25](+0.244) |  -0.007[-0.07,+0.18] |  -0.024[-0.05,-0.00] |  +0.239[+0.19,+0.35] |  +0.151[+0.11,+0.27]
T4    15-22 0.3-0.6  hi    |  +0.230[+0.22,+0.24](+0.242) |  +0.008[-0.03,+0.04] |  -0.002[-0.03,+0.01] |  +0.243[+0.18,+0.28] |  +0.165[+0.10,+0.20]
T4    15-22 0.3-0.6  all   |  +0.231[+0.22,+0.24](+0.242) |  -0.004[-0.03,+0.03] |  -0.006[-0.03,+0.00] |  +0.219[+0.16,+0.26] |  +0.140[+0.09,+0.18]
T4    >22   0.3-0.6  lo    |  +0.237[+0.23,+0.24](+0.243) |  +0.056[-0.01,+0.10] |  -0.137[-0.22,-0.06] |  +0.160[+0.05,+0.25] |  +0.073[-0.04,+0.17]
T4    >22   0.3-0.6  mid   |  +0.253[+0.24,+0.26](+0.249) |  +0.022[-0.02,+0.08] |  -0.122[-0.14,-0.06] |  +0.136[+0.09,+0.23] |  +0.054[+0.01,+0.14]
T4    >22   0.3-0.6  hi    |  +0.239[+0.23,+0.25](+0.244) |  +0.084[+0.06,+0.10] |  -0.069[-0.10,-0.00] |  +0.250[+0.21,+0.31] |  +0.170[+0.13,+0.23]
T4    >22   0.3-0.6  all   |  +0.242[+0.24,+0.25](+0.245) |  +0.064[+0.04,+0.08] |  -0.090[-0.11,-0.03] |  +0.207[+0.17,+0.27] |  +0.126[+0.09,+0.19]
T4    8-15  0.6-1.2  lo    |  +0.223[+0.21,+0.23](+0.232) |  +0.028[-0.03,+0.11] |  +0.022[-0.03,+0.06] |  +0.105[+0.02,+0.20] |  +0.043[-0.04,+0.13]
T4    8-15  0.6-1.2  mid   |  +0.223[+0.22,+0.23](+0.236) |  -0.014[-0.08,+0.04] |  +0.002[-0.03,+0.06] |  +0.135[+0.08,+0.21] |  +0.061[+0.00,+0.13]
T4    8-15  0.6-1.2  hi    |  +0.230[+0.22,+0.25](+0.236) |  -0.241[-0.29,-0.08] |  -0.009[-0.03,+0.00] |  -0.028[-0.07,+0.13] |  -0.108[-0.15,+0.05]
T4    8-15  0.6-1.2  all   |  +0.228[+0.22,+0.24](+0.236) |  -0.229[-0.28,-0.05] |  -0.005[-0.02,+0.00] |  -0.024[-0.07,+0.13] |  -0.103[-0.15,+0.06]
T4    15-22 0.6-1.2  lo    |  +0.200[+0.19,+0.22](+0.229) |  -0.162[-0.25,-0.09] |  +0.051[+0.03,+0.08] |  -0.062[-0.16,+0.05] |  -0.122[-0.21,-0.01]
T4    15-22 0.6-1.2  mid   |  +0.219[+0.20,+0.24](+0.235) |  -0.124[-0.19,-0.06] |  +0.004[-0.03,+0.03] |  +0.035[-0.05,+0.10] |  -0.041[-0.13,+0.03]
T4    15-22 0.6-1.2  hi    |  +0.202[+0.17,+0.23](+0.237) |  -0.199[-0.24,-0.14] |  +0.019[-0.00,+0.03] |  +0.000[-0.06,+0.09] |  -0.074[-0.13,+0.01]
T4    15-22 0.6-1.2  all   |  +0.203[+0.17,+0.23](+0.236) |  -0.193[-0.23,-0.14] |  +0.020[+0.00,+0.03] |  -0.002[-0.06,+0.07] |  -0.076[-0.13,-0.01]
T4    >22   0.6-1.2  lo    |  +0.214[+0.21,+0.31](+0.236) |  +0.067[+0.00,+0.12] |  +0.015[-0.14,+0.07] |  -0.055[-0.10,+0.21] |  -0.149[-0.19,+0.16]
T4    >22   0.6-1.2  mid   |  +0.226[+0.21,+0.32](+0.236) |  -0.048[-0.09,+0.01] |  -0.003[-0.08,+0.04] |  +0.045[+0.01,+0.14] |  -0.039[-0.07,+0.03]
T4    >22   0.6-1.2  all   |  +0.221[+0.21,+0.24](+0.237) |  -0.056[-0.08,-0.02] |  -0.014[-0.06,+0.01] |  +0.060[+0.02,+0.12] |  -0.021[-0.06,+0.04]
V282old8-15  0.15-0.3 lo    |  +0.001[-0.01,+0.01](-0.000) |  +0.056[-0.01,+0.18] |  +0.067[+0.03,+0.14] |  +0.100[+0.02,+0.30] |  +0.100[+0.02,+0.30]
V282old8-15  0.15-0.3 mid   |  +0.005[-0.01,+0.01](+0.000) |  +0.037[-0.02,+0.17] |  +0.035[+0.01,+0.07] |  +0.073[+0.00,+0.21] |  +0.073[+0.00,+0.21]
V282old8-15  0.15-0.3 hi    |  -0.005[-0.02,+0.02](+0.002) |  +0.106[-0.07,+0.23] |  +0.032[+0.02,+0.05] |  +0.134[-0.04,+0.26] |  +0.134[-0.04,+0.26]
V282old8-15  0.15-0.3 all   |  -0.003[-0.02,+0.01](+0.002) |  +0.093[-0.02,+0.20] |  +0.034[+0.02,+0.05] |  +0.123[+0.01,+0.23] |  +0.123[+0.01,+0.23]
V282old15-22 0.15-0.3 lo    |  +0.004[-0.00,+0.01](+0.003) |  +0.015[-0.10,+0.15] |  +0.053[-0.02,+0.14] |  +0.023[-0.14,+0.22] |  +0.023[-0.14,+0.22]
V282old15-22 0.15-0.3 mid   |  +0.006[-0.00,+0.01](+0.003) |  +0.038[-0.04,+0.13] |  +0.041[-0.02,+0.10] |  +0.085[-0.05,+0.20] |  +0.085[-0.05,+0.20]
V282old15-22 0.15-0.3 hi    |  +0.005[-0.00,+0.02](+0.002) |  +0.021[-0.08,+0.10] |  +0.051[-0.01,+0.09] |  +0.077[-0.06,+0.16] |  +0.077[-0.06,+0.16]
V282old15-22 0.15-0.3 all   |  +0.005[-0.00,+0.02](+0.002) |  +0.029[-0.05,+0.11] |  +0.050[-0.01,+0.09] |  +0.080[-0.05,+0.17] |  +0.080[-0.05,+0.17]
V282old>22   0.15-0.3 lo    |  +0.003[-0.00,+0.01](+0.004) |  +0.059[-0.03,+0.13] |  -0.019[-0.07,+0.09] |  -0.013[-0.12,+0.14] |  -0.013[-0.12,+0.14]
V282old>22   0.15-0.3 mid   |  -0.001[-0.01,+0.00](+0.003) |  +0.038[-0.04,+0.08] |  +0.007[-0.02,+0.07] |  +0.025[-0.04,+0.09] |  +0.025[-0.04,+0.09]
V282old>22   0.15-0.3 hi    |  +0.000[-0.01,+0.00](+0.002) |  +0.060[+0.03,+0.08] |  +0.035[-0.01,+0.07] |  +0.093[+0.03,+0.13] |  +0.093[+0.03,+0.13]
V282old>22   0.15-0.3 all   |  +0.000[-0.00,+0.00](+0.003) |  +0.057[+0.02,+0.08] |  +0.026[-0.00,+0.06] |  +0.072[+0.02,+0.11] |  +0.072[+0.02,+0.11]
V282old8-15  0.3-0.6  lo    |  +0.004[-0.01,+0.01](-0.001) |  +0.031[-0.07,+0.16] |  +0.036[-0.03,+0.09] |  +0.039[-0.08,+0.17] |  +0.039[-0.08,+0.17]
V282old8-15  0.3-0.6  mid   |  -0.004[-0.02,+0.00](-0.004) |  +0.073[+0.03,+0.16] |  +0.013[-0.02,+0.06] |  +0.067[+0.02,+0.17] |  +0.067[+0.02,+0.17]
V282old8-15  0.3-0.6  hi    |  -0.010[-0.02,+0.01](-0.003) |  +0.070[+0.01,+0.15] |  +0.030[+0.01,+0.05] |  +0.087[+0.03,+0.18] |  +0.087[+0.03,+0.18]
V282old8-15  0.3-0.6  all   |  -0.009[-0.02,+0.01](-0.003) |  +0.068[+0.01,+0.15] |  +0.028[+0.01,+0.05] |  +0.081[+0.03,+0.16] |  +0.081[+0.03,+0.16]
V282old15-22 0.3-0.6  lo    |  -0.000[-0.01,+0.01](+0.000) |  +0.068[+0.02,+0.13] |  +0.077[-0.02,+0.13] |  +0.046[-0.05,+0.12] |  +0.046[-0.05,+0.12]
V282old15-22 0.3-0.6  mid   |  +0.003[-0.00,+0.01](+0.002) |  +0.025[-0.01,+0.07] |  +0.028[+0.00,+0.06] |  +0.036[-0.03,+0.11] |  +0.036[-0.03,+0.11]
V282old15-22 0.3-0.6  hi    |  -0.004[-0.02,+0.00](-0.000) |  +0.027[-0.02,+0.09] |  +0.016[-0.01,+0.04] |  +0.029[-0.03,+0.12] |  +0.029[-0.03,+0.12]
V282old15-22 0.3-0.6  all   |  -0.002[-0.01,+0.00](+0.000) |  +0.020[-0.02,+0.09] |  +0.019[-0.00,+0.06] |  +0.015[-0.04,+0.12] |  +0.015[-0.04,+0.12]
V282old>22   0.3-0.6  lo    |  +0.002[-0.00,+0.01](+0.003) |  +0.008[-0.04,+0.03] |  +0.005[-0.04,+0.05] |  -0.039[-0.10,+0.01] |  -0.039[-0.10,+0.01]
V282old>22   0.3-0.6  mid   |  +0.003[-0.00,+0.01](+0.004) |  +0.031[-0.00,+0.05] |  -0.002[-0.03,+0.06] |  +0.010[-0.04,+0.08] |  +0.010[-0.04,+0.08]
V282old>22   0.3-0.6  hi    |  +0.003[-0.00,+0.01](+0.004) |  +0.022[+0.00,+0.04] |  -0.019[-0.04,+0.04] |  -0.003[-0.04,+0.06] |  -0.003[-0.04,+0.06]
V282old>22   0.3-0.6  all   |  +0.003[-0.00,+0.01](+0.004) |  +0.017[-0.01,+0.04] |  -0.019[-0.04,+0.03] |  -0.020[-0.05,+0.04] |  -0.020[-0.05,+0.04]
V282old8-15  0.6-1.2  lo    |  -0.004[-0.01,+0.00](-0.003) |  +0.033[+0.01,+0.07] |  +0.000[-0.05,+0.03] |  -0.003[-0.04,+0.06] |  -0.003[-0.04,+0.06]
V282old8-15  0.6-1.2  mid   |  -0.006[-0.01,+0.00](-0.003) |  +0.041[+0.03,+0.08] |  +0.009[-0.02,+0.06] |  +0.034[+0.00,+0.11] |  +0.034[+0.00,+0.11]
V282old8-15  0.6-1.2  hi    |  -0.004[-0.02,+0.02](-0.001) |  +0.030[+0.00,+0.07] |  -0.013[-0.04,+0.00] |  +0.007[-0.04,+0.05] |  +0.007[-0.04,+0.05]
V282old8-15  0.6-1.2  all   |  -0.004[-0.01,+0.01](-0.002) |  +0.032[+0.01,+0.07] |  -0.009[-0.03,+0.01] |  +0.010[-0.02,+0.05] |  +0.010[-0.02,+0.05]
V282old15-22 0.6-1.2  lo    |  -0.007[-0.02,+0.00](-0.008) |  +0.011[-0.03,+0.04] |  +0.102[+0.07,+0.14] |  +0.010[-0.05,+0.05] |  +0.010[-0.05,+0.05]
V282old15-22 0.6-1.2  mid   |  -0.005[-0.01,-0.00](-0.005) |  -0.014[-0.05,+0.01] |  +0.035[-0.01,+0.06] |  -0.013[-0.09,+0.03] |  -0.013[-0.09,+0.03]
V282old15-22 0.6-1.2  hi    |  -0.001[-0.00,+0.00](-0.001) |  -0.042[-0.06,+0.01] |  +0.023[-0.01,+0.05] |  -0.033[-0.07,+0.03] |  -0.033[-0.07,+0.03]
V282old15-22 0.6-1.2  all   |  -0.002[-0.01,+0.00](-0.002) |  -0.035[-0.06,+0.01] |  +0.030[+0.01,+0.05] |  -0.029[-0.06,+0.03] |  -0.029[-0.06,+0.03]
V282old>22   0.6-1.2  lo    |  -0.003[-0.01,+0.01](-0.003) |  -0.013[-0.03,+0.01] |  +0.068[+0.01,+0.12] |  -0.017[-0.06,+0.01] |  -0.017[-0.06,+0.01]
V282old>22   0.6-1.2  mid   |  -0.003[-0.01,+0.00](-0.002) |  -0.024[-0.05,-0.01] |  +0.036[+0.01,+0.06] |  -0.011[-0.05,+0.02] |  -0.011[-0.05,+0.02]
V282old>22   0.6-1.2  hi    |  -0.003[-0.01,-0.00](-0.004) |  -0.022[-0.05,-0.01] |  +0.026[+0.01,+0.05] |  -0.006[-0.06,+0.02] |  -0.006[-0.06,+0.02]
V282old>22   0.6-1.2  all   |  -0.003[-0.01,-0.00](-0.004) |  -0.022[-0.05,-0.01] |  +0.029[+0.01,+0.05] |  -0.008[-0.05,+0.01] |  -0.008[-0.05,+0.01]
