f,band,gate,slope,slope_over_k_2,slope_over_k_4,slope_over_k_6,slope_over_k_8,slope_over_klev_2,slope_over_klev_4,slope_over_klev_6,slope_over_klev_8,slope_15,slope_over_klev_15,slope_19,slope_over_klev_19,slope_26,slope_over_klev_26,highway_untouched,z0_2_8,zbk_2_8,dz_2_8,ex_2_8,reach_acc_2_8,reach_lvl_2_8,dt_2_8,dt_p90_2_8,tr_2_8,nohit_2_8,dz_8_15,ex_8_15,reach_acc_8_15,dt_8_15,dt_p90_8_15
0.03,6.0,g8_12,0.005,2.38095,1.78571,1.13636,0.96154,2.07039,1.5528,0.98814,0.83612,0.00931,0.75373,0.01562,0.97255,0.025,1.15559,True,-0.0038,0.00704,0.00944,-0.00076,0.28604,0.2134,0.0,0.31,0.0,0.50345,0.00844,-0.00031,0.32474,0.0,0.175
0.02,4.0,g8_12,0.005,2.38095,1.78571,1.13636,0.96154,2.07039,1.5528,0.98814,0.83612,0.00931,0.75373,0.01562,0.97255,0.025,1.15559,True,-0.00659,0.0071,0.00915,-0.00047,0.27732,0.21517,0.0,0.266,0.0,0.47586,0.00847,-0.00016,0.32565,0.0,0.105
0.015,3.0,g8_12,0.005,2.38095,1.78571,1.13636,0.96154,2.07039,1.5528,0.98814,0.83612,0.00931,0.75373,0.01562,0.97255,0.025,1.15559,True,-0.00387,0.00932,0.00885,-0.0,0.26821,0.28253,0.0,0.27,0.0,0.4069,0.00842,-0.0,0.32366,0.0,0.07
0.036,8.0,g8_12,0.0045,2.14286,1.60714,1.02273,0.86538,1.86335,1.39752,0.88933,0.75251,0.00931,0.75373,0.01562,0.97255,0.025,1.15559,True,-0.00498,0.0041,0.00866,-0.00336,0.26254,0.12418,0.0,0.338,0.0,0.58621,0.00835,-0.00043,0.32127,0.0,0.215
0.033,8.0,g8_12,0.00413,1.96429,1.47321,0.9375,0.79327,1.70807,1.28106,0.81522,0.6898,0.00931,0.75373,0.01562,0.97255,0.025,1.15559,True,-0.00457,0.00376,0.00794,-0.0029,0.24066,0.11383,0.0,0.306,0.0,0.6,0.00793,-0.00043,0.30514,0.0,0.195
0.025,6.0,g8_12,0.00417,1.98413,1.4881,0.94697,0.80128,1.72533,1.294,0.82345,0.69677,0.00931,0.75373,0.01562,0.97255,0.025,1.15559,True,-0.0033,0.00587,0.00787,-0.00201,0.23837,0.17784,0.0,0.276,0.0,0.54483,0.00789,-0.00054,0.30346,0.0,0.15
0.03,8.0,g8_12,0.00375,1.78571,1.33929,0.85227,0.72115,1.5528,1.1646,0.74111,0.62709,0.00931,0.75373,0.01562,0.97255,0.025,1.15559,True,-0.00415,0.00346,0.00722,-0.00337,0.21878,0.10477,0.0,0.282,0.0,0.6069,0.00758,-0.00044,0.29164,0.0,0.18
0.015,4.0,g8_12,0.00375,1.78571,1.33929,0.85227,0.72115,1.5528,1.1646,0.74111,0.62709,0.00931,0.75373,0.01562,0.97255,0.025,1.15559,True,-0.00486,0.00533,0.00686,-0.0023,0.20799,0.16137,0.0,0.178,0.0,0.72414,0.00779,-0.00028,0.29944,0.0,0.05
0.02,6.0,g8_12,0.00333,1.5873,1.19048,0.75758,0.64103,1.38026,1.0352,0.65876,0.55741,0.00931,0.75373,0.01562,0.97255,0.025,1.15559,True,-0.00264,0.00469,0.00629,-0.00315,0.19069,0.14227,0.0,0.188,0.0,0.57241,0.0072,-0.00065,0.27707,0.0,0.11
0.025,8.0,g8_12,0.00313,1.4881,1.11607,0.71023,0.60096,1.294,0.9705,0.61759,0.52258,0.00931,0.75373,0.01562,0.97255,0.025,1.15559,True,-0.00344,0.00283,0.00602,-0.00447,0.18232,0.08587,0.0,0.25,0.0,0.63448,0.00682,-0.00054,0.2622,0.0,0.155
0.02,8.0,g8_12,0.0025,1.19048,0.89286,0.56818,0.48077,1.0352,0.7764,0.49407,0.41806,0.00931,0.75373,0.01562,0.97255,0.025,1.15559,True,-0.00251,0.00228,0.00481,-0.00571,0.14585,0.06899,0.0,0.13,0.0,0.66207,0.00599,-0.00073,0.23028,0.0,0.12
0.015,6.0,g8_12,0.0025,1.19048,0.89286,0.56818,0.48077,1.0352,0.7764,0.49407,0.41806,0.00931,0.75373,0.01562,0.97255,0.025,1.15559,True,-0.00155,0.00351,0.00472,-0.00457,0.14302,0.1064,0.0,0.126,0.0,0.73793,0.00612,-0.00049,0.23539,0.0,0.08
0.015,8.0,g8_12,0.00187,0.89286,0.66964,0.42614,0.36058,0.7764,0.5823,0.37055,0.31355,0.00931,0.75373,0.01562,0.97255,0.025,1.15559,True,-0.00182,0.00172,0.00361,-0.00607,0.10939,0.05199,0.0,0.106,0.0,0.77931,0.00526,-0.0008,0.20231,0.0,0.095
